SiteID,Institute,Station name,County_ISO3,County_ISO2
OSD1,"Western Observatory Channel, Plymouth Marine Laboratory",Plymouth United Kingdom,GBR,GB
OSD2,Station Biologique de Roscoff,Roscoff Astan France,FRA,FR
OSD3,Biologische Anstalt Helgoland (BAH) - Alfred Wegner Institute (AWI),Helgoland,DEU,DE
OSD4,Stazione Zoologica Anton Dohrn,LTER MC Naples Italy,ITA,IT
OSD5,Hellenic Centre for Marine Research,Crete Greece,GRC,GR
OSD6,"Centro Universitario de la Región Este, Rocha",Blanes,URY,UY
OSD7,CRIOBE CNRS-EPHE-UPVD USR3278,Moorea - Tiahura,PYF,PF
OSD9,"San Pedro Ocean Time Series, USC Microbial Observatory, ",SPOTS,USA,US
OSD10,NOAA Great Lakes Environmental Research Laboratory ,Lake Erie W4,USA,US
OSD11,BAS,Rothera,ATA,AQ
OSD13,"Institute of Oceanology, Bulgarian Academy of Sciences",Varna Bay Bulgaria,BGR,BG
OSD14,Oceanology Observatory of Banyuls,Banyuls sur Mer France,FRA,FR
OSD15,Observatoire Oceanologique de Villefranche sur mer,Villefranche - SOMLIT,FRA,FR
OSD17,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,BE
OSD18,Near East University,Kyrenia (North Cyprus),CYP,CY
OSD19,Eastern Mediterranean University,Famagusta (North Cyprus),CYP,CY
OSD20,MATIS,Iceland (Faxafloi),ISL,IS
OSD21,"Centro Universitario de la Región Este, Rocha",Croatia,HRV,HR
OSD22,"Mediterranean Institute of Oceanography, OSU Pytheas/Centre Nationale Recherche Scientific",Marseille Somlit France,FRA,FR
OSD24,Faculty of Sciences of Oujda,Marchica Morocco,MAR,MA
OSD25,"Faculty of Science of Oujda, University Mohamed First",Saidia Rocher,MAR,MA
OSD26,Faculty of Sciences of Oujda,Tangier Morocco,MAR,MA
OSD28,"Carrie Bow Cay Field Station, Belize (Smithsonian Marine Station)",Belize,BLZ,BZ
OSD29,"Smithsonian Marine Station at Fort Pierce, FL",Florida,USA,US
OSD30,"Tvärminne Zoological Station, University of Helsinki",Tvärminne Finland,FIN,FI
OSD31,IMOS National Refence Station,Port Hacking - New South Wales,AUS,AU
OSD32,IMOS National Refence Station,North Stradbroke - Queensland,AUS,AU
OSD33,IMOS National Refence Station,Maria Island - Tasmania,AUS,AU
OSD34,University of Alexandria,Alexandria,EGY,EG
OSD35,NOAA/NOS Cooperative Oxford Lab,Cheasapeake Bay,USA,US
OSD36,NOAA/NOS Cooperative Oxford Lab,Delaware,USA,US
OSD37,"NOAA Atlantic Oceanographic and Meteorological Laboratory, Miami",Florida Coral 1 - Port Everglades,USA,US
OSD38,"NOAA Atlantic Oceanographic and Meteorological Laboratory, Miami",Florida Coral 2 - Long Key,USA,US
OSD39,"National Ocean Service, Center for Coastal Environmental Health and Biomolecular Research, Charleston, SC",Charleston Harbor USA,USA,US
OSD41,"NOAA Fisheries, Northwest Fisheries Science Center, Seattle, WA",Washington - Sequim Bay Park,USA,US
OSD42,"Institute for Coastal Marine Environments, CNR, Messina, Italy",Faro Lake,ITA,IT
OSD43,Scripps Institute of Oceanography,California Scripps USA,USA,US
OSD45,"NOAA Atlantic Oceanographic and Meteorological Laboratory, Miami",Gulf of Mexico Florida - Tampa Bay,USA,US
OSD46,University of Southern Mississippi (NOAA site),Gulf of Mexico MS (Horn Island),USA,US
OSD47,Department of Biology. University of Padova,Venice Lagoon Italy,ITA,IT
OSD48,Department of Biology. University of Padova,Venice Gulf Italy,ITA,IT
OSD49,"Marine Biology Station, Piran",Piran Slovenia,SVN,SI
OSD50,AZTI Tecnalia,Pasaia (Spain),ESP,ES
OSD51,Bocas del Toro Research Station,Bocas del Toro (Panama),PAN,PA
OSD52,American University of Cairo,Abu Hashish,EGY,EG
OSD53,American University of Cairo,Ras Disha,EGY,EG
OSD54,Bigelow Laboratory for Ocean Sciences,Maine Booth Bay USA,USA,US
OSD55,Bigelow Laboratory for Ocean Sciences,Maine Damariscotta River USA,USA,US
OSD56,"Kewalo Marine Laboratory, University of Hawaii at Manoa",Hawaii Kakaako,USA,US
OSD57,"Kewalo Marine Laboratory, University of Hawaii at Manoa",Hawaii Oahu,USA,US
OSD58,Duke University,PICO (Pivers Island),USA,US
OSD60,Center for Coastal Environmental Health and Biomolecular Research. National Oceanic and Atmospheric Administration,South Carolina North Inlet USA,USA,US
OSD61,"Josephine Bay Paul Center for Comparative Molecular Biology and Evolution, Marine Biological Laboratory",Vineyard Sound,USA,US
OSD62,Bangor University,Menai Straits (Bangor),GBR,GB
OSD63,Institute of Marine Science. National Research Council,Venice Acqua Alta Italy,ITA,IT
OSD64,"Odessa National I.I. Mechnikov University, biology faculty",Odessa (Ukraine),UKR,UA
OSD65,University of Auckland,Leigh Marine Laboratory (NZ),USA,US
OSD69,Department of Biology. University of Padova,Venice Marghera Italy,ITA,IT
OSD70,Department of Biology. University of Padova,Venice Lido Italy,ITA,IT
OSD71,"Department of Marine Science, University of Otago",Otago,NZL,NZ
OSD72,"University of Kiel, GEOMAR Helmholtz Center for Ocean Research","Boknis Eck, Baltic Sea",DEU,DE
OSD73,"CIIMAR, Interdisciplinary Center of Environmental and Marine Research","Lima Estuary, NE Atlantic",PRT,PT
OSD74,Interdisciplinary Center of Environmental and Marine Research,Douro Portugal,PRT,PT
OSD76,University of Urbino. Dep. of Biomolecular Sciences. Section of Environmental Biology,Foglia Italy,ITA,IT
OSD77,University of Urbino. Dep. of Biomolecular Sciences. Section of Environmental Biology,Metauro Italy,ITA,IT
OSD78,CoNISMa,Conisma Italy,ITA,IT
OSD80,University of Alaska Fairbanks,Greenland - Young Sound,USA,US
OSD81,Centre of Marine Sciences,Faro Ria Formosa Portugal,PRT,PT
OSD87,CEFAS,RV CEFAS Endeavour,GBR,GB
OSD88,Centre national de la recherche scientifique,La Rochelle France,FRA,FR
OSD90,University of Patras,Etoliko lagoon,GRC,GR
