Rank	Taxonpath	Taxon	ERR1	ERR10	ERR11	ERR12	ERR13	ERR14	ERR15	ERR16	ERR17	ERR18	ERR19	ERR2	ERR20	ERR21	ERR22	ERR23	ERR24	ERR25	ERR26	ERR27	ERR28	ERR29	ERR3	ERR30	ERR31	ERR32	ERR33	ERR34	ERR35	ERR36	ERR37	ERR38	ERR39	ERR4	ERR40	ERR41	ERR42	ERR43	ERR44	ERR45	ERR46	ERR47	ERR48	ERR49	ERR5	ERR50	ERR52	ERR53	ERR54	ERR55	ERR56	ERR57	ERR58	ERR59	ERR6	ERR62	ERR63	ERR64	ERR65	ERR66	ERR67	ERR68	ERR7	ERR8	ERR9
root	root	root	51.8	314.587209302	236.5	386.285714286	379.884955752	258.29787234	322.033333333	255.580645161	303.035714286	244.016666667	289.847826087	235.592105263	209.1875	298.205128205	193.818181818	343.290322581	300.670212766	262.6953125	96.880952381	268.490654206	361.899253731	256.905660377	221.510416667	164.603448276	465.994818653	262.205	421.056291391	223.851351351	183.52	286.722222222	338.671717172	194.481481481	202.719512195	166.44047619	93.0	341.852459016	282.561728395	61.2857142857	153.2	183.11627907	243.272727273	207.017857143	298.711864407	276.66091954	262.340909091	187.160714286	161.568965517	141.532258065	104.714285714	218.656626506	66.8888888889	240.333333333	219.12	364.631578947	243.075	96.6176470588	176.191176471	269.05	258.44	280.421568627	None	47.8846153846	214.742424242	179.320512821	401.934931507
meta	Main genome	Main genome	50.8	289.243902439	220.62962963	363.666666667	359.017857143	230.487804878	300.231481481	243.6	282.537735849	224.266666667	267.294117647	207.347222222	200.023809524	263.783783784	179.880952381	315.137931034	271.010869565	247.722222222	95.225	255.25	318.56504065	214.56097561	190.44047619	162.603448276	446.880952381	250.860824742	403.246621622	181.016666667	154.022727273	252.76056338	308.75	181.538461538	185.666666667	135.779411765	92.0	319.361344538	250.582191781	55.1363636364	137.191176471	165.578947368	241.005681818	196.333333333	244.510416667	254.025	248.5	160.695652174	155.574074074	133.451612903	97.880952381	215.43902439	62.0	221.285714286	201.6	342.830188679	208.245098039	91.6333333333	154.5625	246.0	217.0125	232.714285714	None	44.0416666667	192.64516129	167.065789474	354.231884058
meta	Chloroplast	Chloroplast	None	24.0	16.0	22.0	None	26.5	19.9	12.0	20.25	None	24.5714285714	26.0	10.1666666667	44.0	15.5	27.0	28.5	None	2.0	16.1666666667	40.3888888889	42.5	33.3333333333	None	19.125	11.6666666667	19.6666666667	43.5714285714	27.6666666667	33.45	34.1666666667	12.25	20.25	30.5714285714	None	23.6666666667	31.0	6.16666666667	18.5	15.9	None	12.125	54.6818181818	19.4	14.0	25.5	6.0	None	None	3.5	None	18.0	18.5	18.0	34.8888888889	5.0	19.0	23.3333333333	38.25	46.0625	None	2.5	22.25	13.0	48.0625
meta	Mitochondria	Mitochondria	None	None	None	None	1.0	2.0	None	None	1.0	None	None	None	None	2.0	None	2.0	None	1.0	None	None	3.25	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	3.25	None	None	None	None	None	None	None	2.0	2.0	2.0	None	None	None	None	None	2.0	None	None	None	None	None
meta	No hits	No hits	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0
domain	Main genome;Bacteria	Bacteria	50.8	285.243902439	218.62962963	361.666666667	357.017857143	225.719512195	296.148148148	238.816666667	281.537735849	218.266666667	262.06626506	205.222222222	196.0	259.783783784	174.714285714	310.578947368	267.010869565	243.633333333	95.225	253.033980583	316.610655738	212.051282051	190.44047619	162.603448276	443.723404255	245.880208333	400.246621622	181.016666667	151.0	252.76056338	305.520833333	181.538461538	185.666666667	133.890625	59.0	319.361344538	250.582191781	55.1363636364	137.191176471	165.578947368	241.005681818	191.083333333	242.510416667	254.025	248.5	160.695652174	155.574074074	133.451612903	97.880952381	215.43902439	62.0	221.285714286	201.6	342.830188679	208.245098039	91.6333333333	152.066666667	245.0	216.0125	230.011904762	None	44.0416666667	189.775862069	167.065789474	350.231884058
domain	Main genome;Archaea	Archaea	None	None	None	None	None	None	None	None	None	None	5.25	None	None	None	None	5.0	None	4.16666666667	None	2.5	2.0	3.0	None	None	3.5	5.0	None	None	3.25	None	None	None	None	2.0	33.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	3.0	None	None	None	None	None	3.25	None	None
domain	Chloroplast;Bacteria (Chloroplast)	Bacteria (Chloroplast)	None	24.0	16.0	22.0	None	26.5	19.9	12.0	20.25	None	24.5714285714	26.0	10.1666666667	44.0	15.5	27.0	28.5	None	2.0	16.1666666667	40.3888888889	42.5	33.3333333333	None	19.125	11.6666666667	19.6666666667	43.5714285714	27.6666666667	33.45	34.1666666667	12.25	20.25	30.5714285714	None	23.6666666667	31.0	6.16666666667	18.5	15.9	None	12.125	54.6818181818	19.4	14.0	25.5	6.0	None	None	3.5	None	18.0	18.5	18.0	34.8888888889	5.0	19.0	23.3333333333	38.25	46.0625	None	2.5	22.25	13.0	48.0625
domain	Mitochondria;Bacteria (Mitochondrion)	Bacteria (Mitochondrion)	None	None	None	None	1.0	2.0	None	None	1.0	None	None	None	None	2.0	None	2.0	None	1.0	None	None	3.25	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	3.25	None	None	None	None	None	None	None	2.0	2.0	2.0	None	None	None	None	None	2.0	None	None	None	None	None
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	28.125	109.896551724	118.409090909	153.52173913	141.653846154	99.5294117647	130.82	109.833333333	135.5625	102.0	137.130434783	97.5238095238	95.0	123.595238095	89.25	153.75	120.235294118	106.629032258	41.25	90.7285714286	123.857142857	110.633333333	102.043478261	82.6538461538	168.632911392	89.0862068966	164.627272727	94.5454545455	60.5	84.0	136.975609756	91.1666666667	115.586956522	75.0909090909	19.0	134.102272727	117.882352941	29.0833333333	56.75	47.7	84.8448275862	83.0416666667	103.28125	96.7222222222	89.6666666667	69.5454545455	88.9705882353	34.8888888889	33.7857142857	71.880952381	16.9	90.8787878788	76.8888888889	117.362903226	100.6875	49.0	68.1333333333	105.666666667	106.363636364	106.447368421	None	27.0	81.28125	74.0357142857	137.726415094
