Rank	Taxonpath	Taxon	ERR1	ERR10	ERR11	ERR12	ERR13	ERR14	ERR15	ERR16	ERR17	ERR18	ERR19	ERR2	ERR20	ERR21	ERR22	ERR23	ERR24	ERR25	ERR26	ERR27	ERR28	ERR29	ERR3	ERR30	ERR31	ERR32	ERR33	ERR34	ERR35	ERR36	ERR37	ERR38	ERR39	ERR4	ERR40	ERR41	ERR42	ERR43	ERR44	ERR45	ERR46	ERR47	ERR48	ERR49	ERR5	ERR50	ERR52	ERR53	ERR54	ERR55	ERR56	ERR57	ERR58	ERR59	ERR6	ERR62	ERR63	ERR64	ERR65	ERR66	ERR67	ERR68	ERR7	ERR8	ERR9
root	root	root	50	297	205	368	365	246	290	205	277	204	282	204	167	258	176	318	273	252	90	264	355	246	204	157	463	260	417	214	170	280	316	185	191	163	93	329	275	60	142	174	240	174	274	267	259	170	149	133	97	216	56	227	196	362	234	90	167	251	244	267	7	46	194	167	395
meta	Main genome	Main genome	49	274	191	347	346	218	268	195	258	189	262	184	156	230	165	290	247	238	88	252	313	205	179	155	444	249	400	175	144	248	290	174	177	134	92	308	244	54	128	158	238	163	227	245	245	146	144	127	91	213	54	207	176	340	200	86	147	229	205	222	6	43	174	156	349
meta	Chloroplast	Chloroplast	0	22	14	20	18	26	19	10	18	13	20	17	10	26	11	26	24	13	2	12	39	41	25	2	19	11	17	39	25	31	26	10	14	28	0	21	30	6	14	15	2	11	47	19	14	23	5	5	5	3	2	18	18	18	34	4	18	22	37	43	1	2	20	11	45
meta	Mitochondria	Mitochondria	0	0	0	1	1	2	2	0	1	2	0	2	1	2	0	2	2	1	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	1	0	1	1	0	0	2	2	2	0	0	2	0	2	2	0	0	0	0	1
meta	No hits	No hits	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
domain	Main genome;Bacteria	Bacteria	49	270	189	345	344	214	265	192	257	186	257	183	154	226	161	285	243	234	88	250	311	202	179	155	441	244	397	175	141	248	288	174	177	132	59	308	244	54	128	158	238	161	225	245	245	146	144	127	91	213	54	207	176	340	200	86	144	228	204	220	6	43	171	156	345
domain	Main genome;Archaea	Archaea	0	4	2	2	2	4	3	3	1	3	5	1	2	4	4	5	4	4	0	2	2	3	0	0	3	5	3	0	3	0	2	0	0	2	33	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	2	0	0	3	0	4
domain	Chloroplast;Bacteria (Chloroplast)	Bacteria (Chloroplast)	0	22	14	20	18	26	19	10	18	13	20	17	10	26	11	26	24	13	2	12	39	41	25	2	19	11	17	39	25	31	26	10	14	28	0	21	30	6	14	15	2	11	47	19	14	23	5	5	5	3	2	18	18	18	34	4	18	22	37	43	1	2	20	11	45
domain	Mitochondria;Bacteria (Mitochondrion)	Bacteria (Mitochondrion)	0	0	0	1	1	2	2	0	1	2	0	2	1	2	0	2	2	1	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	1	0	1	1	0	0	2	2	2	0	0	2	0	2	2	0	0	0	0	1
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	25	103	90	145	136	90	114	89	128	86	135	86	71	111	78	135	106	103	39	89	120	101	95	74	168	87	162	90	59	82	126	87	106	75	19	130	115	29	55	45	84	71	92	94	88	63	84	34	28	69	16	87	66	116	96	45	66	101	99	102	3	25	76	66	135
