SiteID,eventID,sampleID,sampleID_ENA,BioSample,runID_16S,BioprojectID_16S,runID_18S,BioprojectID_18S,runID_MG,BioprojectID_MG
,event ID use in Data sheets,as used by us,sample id used in ENA,from ENA,run accession number for 16S amplicon sequences,from ENA,run accession number for 18S amplicon sequences,from ENA,run accession number for whole genome sequences,from ENA
OSD233,OSD233_2018-06,OSD233_2018-06_NPL022_1,OSD233_2018-06_1_NPL022,SAMEA7392421,ERR4674038,PRJEB40757,to be added,to be added,ERR4674036,PRJEB40760
OSD232,OSD232_2018-06,OSD232_2018-06_NPL022_1,OSD232_2018-06_1_NPL022,SAMEA7392422,ERR4674041,PRJEB40757,to be added,to be added,ERR4674039,PRJEB40760
OSD231,OSD231_2018-06,OSD231_2018-06_NPL022_1,OSD231_2018-06_1_NPL022,SAMEA7392423,ERR4674043,PRJEB40757,not provided,not provided,ERR4674042,PRJEB40760
OSD229,OSD229_2018-06,OSD229_2018-06_NPL022_1,OSD229_2018-06_1_NPL022,SAMEA7392424,ERR4674046,PRJEB40757,to be added,to be added,ERR4674044,PRJEB40760
OSD228,OSD228_2018-06,OSD228_2018-06_NPL022_1,OSD228_2018-06_1_NPL022,SAMEA7392425,ERR4674048,PRJEB40757,to be added,to be added,not provided,not provided
OSD227,OSD227_2018-06,OSD227_2018-06_NPL022_1,OSD227_2018-06_1_NPL022,SAMEA7392426,ERR4674051,PRJEB40757,to be added,to be added,ERR4674049,PRJEB40760
OSD223,OSD223_2018-06,OSD223_2018-06_NPL022_1,OSD223_2018-06_1_NPL022,SAMEA7392427,ERR4674053,PRJEB40757,not provided,not provided,ERR4674052,PRJEB40760
OSD220,OSD220_2018-06,OSD220_2018-06_NPL022_1,OSD220_2018-06_1_NPL022,SAMEA7392428,ERR4674056,PRJEB40757,to be added,to be added,ERR4674054,PRJEB40760
OSD219,OSD219_2018-06,OSD219_2018-06_NPL022_1,OSD219_2018-06_1_NPL022,SAMEA7392429,ERR4674059,PRJEB40757,to be added,to be added,ERR4674057,PRJEB40760
OSD218,OSD218_2018-06,OSD218_2018-06_NPL022_1,OSD218_2018-06_1_NPL022,SAMEA7392430,ERR4674061,PRJEB40757,to be added,to be added,not provided,not provided
OSD217,OSD217_2018-06,OSD217_2018-06_NPL022_1,OSD217_2018-06_1_NPL022,SAMEA7392431,ERR4674064,PRJEB40757,to be added,to be added,ERR4674062,PRJEB40760
OSD216,OSD216_2018-06,OSD216_2018-06_NPL022_1,OSD216_2018-06_1_NPL022,SAMEA7392432,ERR4674067,PRJEB40757,to be added,to be added,ERR4674065,PRJEB40760
OSD214,OSD214_2018-06,OSD214_2018-06_NPL022_1,OSD214_2018-06_1_NPL022,SAMEA7392433,ERR4674070,PRJEB40757,to be added,to be added,ERR4674068,PRJEB40760
OSD212,OSD212_2018-06,OSD212_2018-06_NPL022_1,OSD212_2018-06_1_NPL022,SAMEA7392434,ERR4674073,PRJEB40757,to be added,to be added,ERR4674071,PRJEB40760
OSD211,OSD211_2018-06,OSD211_2018-06_NPL022_1,OSD211_2018-06_1_NPL022,SAMEA7392435,ERR4674076,PRJEB40757,to be added,to be added,ERR4674074,PRJEB40760
OSD210,OSD210_2018-06,OSD210_2018-06_NPL022_1,OSD210_2018-06_1_NPL022,SAMEA7392436,ERR4674079,PRJEB40757,to be added,to be added,ERR4674077,PRJEB40760
OSD185,OSD185_2018-06,OSD185_2018-06_NPL022_1,OSD185_2018-06_1_NPL022,SAMEA7392437,ERR4674082,PRJEB40757,to be added,to be added,ERR4674080,PRJEB40760
OSD184,OSD184_2018-06,OSD184_2018-06_NPL022_1,OSD184_2018-06_1_NPL022,SAMEA7392438,ERR4674084,PRJEB40757,to be added,to be added,not provided,not provided
OSD183,OSD183_2018-06,OSD183_2018-06_NPL022_1,OSD183_2018-06_1_NPL022,SAMEA7392439,ERR4674087,PRJEB40757,to be added,to be added,ERR4674085,PRJEB40760
OSD182,OSD182_2018-06,OSD182_2018-06_NPL022_1,OSD182_2018-06_1_NPL022,SAMEA7392440,ERR4674090,PRJEB40757,to be added,to be added,ERR4674088,PRJEB40760
OSD180,OSD180_2018-06,OSD180_2018-06_NPL022_1,OSD180_2018-06_1_NPL022,SAMEA7392441,ERR4674092,PRJEB40757,to be added,to be added,not provided,not provided
OSD179,OSD179_2018-06,OSD179_2018-06_NPL022_1,OSD179_2018-06_1_NPL022,SAMEA7392442,ERR4674095,PRJEB40757,to be added,to be added,ERR4674093,PRJEB40760
OSD178,OSD178_2018-06,OSD178_2018-06_NPL022_1,OSD178_2018-06_1_NPL022,SAMEA7392443,ERR4674098,PRJEB40757,to be added,to be added,ERR4674096,PRJEB40760
OSD177,OSD177_2018-06,OSD177_2018-06_NPL022_1,OSD177_2018-06_1_NPL022,SAMEA7392444,ERR4674101,PRJEB40757,to be added,to be added,ERR4674099,PRJEB40760
OSD176,OSD176_2018-06,OSD176_2018-06_NPL022_1,OSD176_2018-06_1_NPL022,SAMEA7392445,ERR4674104,PRJEB40757,to be added,to be added,ERR4674102,PRJEB40760
OSD175,OSD175_2018-06,OSD175_2018-06_NPL022_1,OSD175_2018-06_1_NPL022,SAMEA7392446,ERR4674107,PRJEB40757,to be added,to be added,ERR4674105,PRJEB40760
OSD171,OSD171_2018-06,OSD171_2018-06_NPL022_1,OSD171_2018-06_1_NPL022,SAMEA7392447,ERR4674110,PRJEB40757,to be added,to be added,ERR4674108,PRJEB40760
OSD170,OSD170_2018-06,OSD170_2018-06_NPL022_1,OSD170_2018-06_1_NPL022,SAMEA7392448,ERR4674113,PRJEB40757,to be added,to be added,ERR4674111,PRJEB40760
OSD159,OSD159_2018-06,OSD159_2018-06_NPL022_1,OSD159_2018-06_1_NPL022,SAMEA7392449,ERR4674116,PRJEB40757,to be added,to be added,ERR4674114,PRJEB40760
OSD153,OSD153_2018-06,OSD153_2018-06_NPL022_1,OSD153_2018-06_1_NPL022,SAMEA7392450,ERR4674119,PRJEB40757,to be added,to be added,ERR4674117,PRJEB40760
OSD152,OSD152_2018-06,OSD152_2018-06_NPL022_1,OSD152_2018-06_1_NPL022,SAMEA7392451,ERR4674122,PRJEB40757,to be added,to be added,ERR4674120,PRJEB40760
OSD141,OSD141_2018-06,OSD141_2018-06_NPL022_1,OSD141_2018-06_1_NPL022,SAMEA7392452,ERR4674125,PRJEB40757,to be added,to be added,ERR4674123,PRJEB40760
OSD122,OSD122_2018-06,OSD122_2018-06_NPL022_1,OSD122_2018-06_1_NPL022,SAMEA7392453,ERR4674128,PRJEB40757,to be added,to be added,ERR4674126,PRJEB40760
OSD100,OSD100_2018-06,OSD100_2018-06_NPL022_1,OSD100_2018-06_1_NPL022,SAMEA7392454,ERR4674131,PRJEB40757,to be added,to be added,ERR4674129,PRJEB40760
OSD99,OSD99_2018-06,OSD99_2018-06_NPL022_1,OSD99_2018-06_1_NPL022,SAMEA7392455,not provided,not provided,to be added,to be added,not provided,not provided
OSD93,OSD93_2018-06,OSD93_2018-06_NPL022_1,OSD93_2018-06_1_NPL022,SAMEA7392456,ERR4674135,PRJEB40757,to be added,to be added,ERR4674133,PRJEB40760
OSD91,OSD91_2018-06,OSD91_2018-06_NPL022_1,OSD91_2018-06_1_NPL022,SAMEA7392457,ERR4674138,PRJEB40757,to be added,to be added,ERR4674136,PRJEB40760
OSD88,OSD88_2018-06,OSD88_2018-06_NPL022_1,OSD88_2018-06_1_NPL022,SAMEA7392458,ERR4674141,PRJEB40757,to be added,to be added,ERR4674139,PRJEB40760
OSD81,OSD81_2018-06,OSD81_2018-06_NPL022_1,OSD81_2018-06_1_NPL022,SAMEA7392459,ERR4674143,PRJEB40757,not provided,not provided,ERR4674142,PRJEB40760
OSD78,OSD78_2018-06,OSD78_2018-06_NPL022_1,OSD78_2018-06_1_NPL022,SAMEA7392460,ERR4674146,PRJEB40757,to be added,to be added,ERR4674144,PRJEB40760
