EventID,SampleID,SampleID_ENA,SiteID,DateTime,Latitude,Longitude,environment (biome),environment (material),environment (feature),project name,Marine Region,Sampling Platform,Depth,Depth_unit,Depth_unitUrl,Depth_flag,Protocol Label,Sampling Campaign,SAMPLE_Objective,EVENT_Device,EVENT_Method,EVENT_Comment,SAMPLE_Quantity,SAMPLE_Quantity_unit,SAMPLE_Quantity_unitUrl,SAMPLE_Quantity_flag,SAMPLE_FiltrationTime,SAMPLE_FiltrationTime_unit,SAMPLE_FiltrationTime_unitUrl,SAMPLE_FiltrationTime_flag,SAMPLE_Container,SAMPLE_Content,SAMPLE_Size-Fraction_UpperThreshold,SAMPLE_Size-Fraction_LowerThreshold,SAMPLE_Size-Fraction_LowerThreshold_unit,SAMPLE_Size-Fraction_LowerThreshold_unitUrl,SAMPLE_Size-Fraction_LowerThreshold_flag,SAMPLE_Treatment_Chemicals,SAMPLE_Treatment_Storage,Temperature,Temperature_unit,Temperature_unitUrl,Temperature_flag,Salinity,Salinity_unit,Salinity_unitUrl,Salinity_flag,CTD_Conductivity,CTD_Conductivity_unit,CTD_Conductivity_unitUrl,CTD_Conductivity_flag,CTD_Fluorescence,CTD_Fluorescence_unit,CTD_Fluorescence_unitUrl,CTD_Fluorescence_flag,CTD_Depth,CTD_Depth_unit,CTD_Depth_unitUrl,CTD_Depth_flag,Seawater Nutrients Concentration_Ammonium,Seawater Nutrients Concentration_Ammonium_unit,Seawater Nutrients Concentration_Ammonium_unitUrl,Seawater Nutrients Concentration_Ammonium_flag,Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrate_unit,Seawater Nutrients Concentration_Nitrate_unitUrl,Seawater Nutrients Concentration_Nitrate_flag,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Nitrite_unit,Seawater Nutrients Concentration_Nitrite_unitUrl,Seawater Nutrients Concentration_Nitrite_flag,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Phosphate_unit,Seawater Nutrients Concentration_Phosphate_unitUrl,Seawater Nutrients Concentration_Phosphate_flag,Seawater Nutrients Concentration_Silicate,Seawater Nutrients Concentration_Silicate_unit,Seawater Nutrients Concentration_Silicate_unitUrl,Seawater Nutrients Concentration_Silicate_flag,Seawater Chemical Properties_pH,Seawater Chemical Properties_pH_unit,Seawater Chemical Properties_pH_unitUrl,Seawater Chemical Properties_pH_flag,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Chemical Properties_Dissolved Oxygen concentration_unit,Seawater Chemical Properties_Dissolved Oxygen concentration_unitUrl,Seawater Chemical Properties_Dissolved Oxygen concentration_flag,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Downward PAR_unit,Seawater Optical Properties_Downward PAR_unitUrl,Seawater Optical Properties_Downward PAR_flag,Seawater Optical Properties_Turbidity,Seawater Optical Properties_Turbidity_unit,Seawater Optical Properties_Turbidity_unitUrl,Seawater Optical Properties_Turbidity_flag,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_DON_unit,Organic Matter Concentration (Amount or Mass)_DON_flag,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_POC_unit,Organic Matter Concentration (Amount or Mass)_POC_unitUrl,Organic Matter Concentration (Amount or Mass)_POC_flag,Organic Matter Concentration (Amount or Mass)_PON,Organic Matter Concentration (Amount or Mass)_PON_unit,Organic Matter Concentration (Amount or Mass)_PON_unitUrl,Organic Matter Concentration (Amount or Mass)_PON_flag,Organism Concentration (Amount Volume or Mass)_Pigment concentrations,Organism Concentration (Amount Volume or Mass)_Pigment concentrations_unit,Organism Concentration (Amount Volume or Mass)_Pigment concentrations_unitUrl,Organism Concentration (Amount Volume or Mass)_Pigment concentrations_flag,Organism Concentration (Amount Volume or Mass)_Nano/Microplankton,Organism Concentration (Amount Volume or Mass)_Nano/Microplankton_unit,Organism Concentration (Amount Volume or Mass)_Nano/Microplankton_flag,ENA_BioSampleID,ENA_BioProjectID_TargetGene18S,ENA_BioProjectID_TargetGeneMG,ENA_BioProjectID_TargetGene16S
OSD1_2018-06,OSD1_2018-06_NPL022_1,OSD1_2018-06_1_NPL022,OSD1,2018-06-18T09:45:00Z,50.2505,-4.2201,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2389,not provided,2,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,CTD Rosette,not provided,not provided,2,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,not provided,not provided,,,Sterivex,particulate matter,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/ ,,no treatment,-80,13.84,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,35.07,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,not provided,not provided,,,0.6731,volts,CTD_Fluorescence_unit,,2,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,-999.999,micromol/kg,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,uncertain value,not provided,not provided,,,0.2653,FTU,http://vocab.nerc.ac.uk/collection/P06/current/USTU/,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392483,to be added,,PRJEB40757
OSD100_2018-06,OSD100_2018-06_NPL022_1,OSD100_2018-06_1_NPL022,OSD100,2018-06-21T09:00:00Z,35.35,25.29,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3339,HCMR dinghy boat,1,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,surface water sampling (100lt) CTD cost zooplankton net sampling,Niskin bottles / CTD / zooplankton net,surface water sampling with niskin 100lt CTD cost / vertical sampling zooplankton,not provided,20,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,60,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,Corboys,seawater,not provided,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,24.58,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,39.18,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,40.5,mS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,,not provided,not provided,,,1,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,8.2,dimensionless,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392454,to be added,PRJEB40760,PRJEB40757
OSD122_2018-06,OSD122_2018-06_NPL022_1,OSD122_2018-06_1_NPL022,OSD122,2018-06-21T08:01:00Z,29.4661,34.9282,marine pelagic biome [ENVO:01000023], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25384,Self-propelled boat. 48182,0,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,sampling for Prokaryotes,25L Jerrycan,three 25L Jerrycans were deployed by hand from a boat,sampling done at open sea on surface. Water depth at sampling location is 700m,6,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,79,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,Sterivex,particulate matter,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,26.79,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,40.64,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,62.694,mS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,,not provided,not provided,,,0.5,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392453,to be added,PRJEB40760,PRJEB40757
OSD13_2018-06,OSD13_2018-06_NPL022_1,OSD13_2018-06_1_NPL022,OSD13,2018-06-21T11:30:00Z,43.1838,27.9004,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25202,not provided,0,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,not provided,not provided,not provided,1.06,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,60,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,Sterivex,particulate matter,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,Liquid Nitrogen,25.7,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,13.8,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,not provided,not provided,,,not provided,not provided,,,0,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,8.37,dimensionless,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392479,to be added,PRJEB40760,PRJEB40757
OSD14_2018-06,OSD14_2018-06_NPL022_1,OSD14_2018-06_1_NPL022,OSD14,2018-06-19T07:30:00Z,42.484,3.135,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,not provided,2,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,frequently monitored coastal lagoons,CTD probe Seabird 19 and 12L Niskin bottle,sampling and sterivex filtration,not provided,3,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,180,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,Sterivex,not provided,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,19.11,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,36.73,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,0.065,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.06,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.02,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.05,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,1.08,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,8.022,dimensionless,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,,5.916,mg/l,http://vocab.nerc.ac.uk/collection/P06/current/UMGL/,Given unit does not match required unit.,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,176.53,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,Given unit does not match required unit.,29.801,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,Given unit does not match required unit.,0.879,microg/l,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/,Given unit does not match required unit.,not provided,not provided,,SAMEA7392478,to be added,PRJEB40760,PRJEB40757
OSD141_2018-06,OSD141_2018-06_NPL022_1,OSD141_2018-06_1_NPL022,OSD141,2018-06-21T10:30:00Z,60.1612,5.115,marine pelagic biome [ENVO:01000023], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25233,boat,5,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,CTD / Niskin bottle,collect sample with a Niskin bottle,not provided,3,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,60,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,Sterivex,seawater,not provided,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,11.9,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,31.37,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,31.37,mS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,,1.55,microg/l,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/,Given unit does not match required unit.,5,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,not provided,not provided,,,12.5,mg/l,http://vocab.nerc.ac.uk/collection/P06/current/UMGL/,Given unit does not match required unit.,not provided,not provided,,,0.25,mg/l,http://vocab.nerc.ac.uk/collection/P06/current/UMGL/,Given unit does not match required unit.,,,,,8.05,dimensionless,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,,9.29,mg/l,http://vocab.nerc.ac.uk/collection/P06/current/UMGL/,Given unit does not match required unit.,not provided,not provided,,,0.46,FTU,http://vocab.nerc.ac.uk/collection/P06/current/USTU/,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392452,to be added,PRJEB40760,PRJEB40757
OSD152_2018-06,OSD152_2018-06_NPL022_1,OSD152_2018-06_1_NPL022,OSD152,2018-06-20T13:00:00Z,44.6936,-63.6403,neritic epipelagic zone biome [ENVO:01000042], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=18822,CGS SIGMA T,1,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,Compass Buoy Station has been sampled weekly since 1992 as parrt of the Bedford Basin monitoring Program,30L Niskin bottle,Niskin deployed via cable Winch,Compass Buoy Station has been sampled weekly since 1992 as part of the Bedford basin monitoring program /filtered peristaltic pump,3.1,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,24,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,Sterivex,particulate matter,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,11.3,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,30,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,7.968,mS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,,3.4,mg/m3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/,Given unit does not match required unit.,1,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,not provided,not provided,,,0.876,microM,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,Given unit does not match required unit.,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,8.11,dimensionless,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,,7.539,ml/l,http://vocab.nerc.ac.uk/collection/P06/current/UMLL/,Given unit does not match required unit.,70.351,microE/m^2/s,http://vocab.nerc.ac.uk/collection/P06/current/UM2S/,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392451,to be added,PRJEB40760,PRJEB40757
OSD153_2018-06,OSD153_2018-06_NPL022_1,OSD153_2018-06_1_NPL022,OSD153,2018-06-21T10:28:00Z,36.9978,-7.9817,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2360,on shore,0,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,not provided,not provided,not provided,1.5,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,40,min,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/ ,,Sterivex,not provided,not provided,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,19.1,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,36,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,48207,mS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,,not provided,not provided,,,0.2,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,8.13,dimensionless,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,,84.4,%,http://qudt.org/vocab/unit/PERCENT,Given unit does not match required unit.,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392450,to be added,PRJEB40760,PRJEB40757
OSD159_2018-06,OSD159_2018-06_NPL022_1,OSD159_2018-06_1_NPL022,OSD159,not provided,48.359,-4.552,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=8762,not provided,not provided,not provided,,,NPL022,OSD-Jun-2018,not provided,not provided,not provided,not provided,not provided,not provided,,,not provided,not provided,,,not provided,not provided,not provided,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,-80,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392449,to be added,PRJEB40760,PRJEB40757
OSD17_2018-06,OSD17_2018-06_NPL022_1,OSD17_2018-06_1_NPL022,OSD17,2018-06-20T08:46:08Z,51.4335,2.8082,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,m,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 330,0.78,l,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/ ,,not provided,not provided,,,Sterivex in sterile tube,marine sample,no prefiltration,0.22,microns,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,,no treatment,on ship in -24 and after cruise in -86,16.15,centigrade,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,32.96,PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,,41748.41176,microS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSPM/,Given unit does not match required unit.,6.223029412,mg/m3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/,Given unit does not match required unit.,not provided,not provided,,,0.529999971,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.059999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.029999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.039999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,0.029999999,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,,not provided,not provided,,SAMEA7392477,to be added,PRJEB40760,PRJEB40757
