ColumnTitle,Description,Unit
EventID,Event ID,
SampleID,"Sample ID, harmonised over all OSD years",
SampleID_ENA,"Sample ID, with structure as in ENA (Sample Title)",
SiteID,Site ID (site details provided on the OSDStations spreadsheet),
DateTime,Start date and time of the event,
Latitude,Latitude of the station,decimal degree
Longitude,Longitude of the station,decimal degree
environment (biome),ENVO type for the biome sampled,
environment (material),ENVO type for the material sampled,
environment (feature),ENVO type for the feature sampled,
project name,Name of the project,
Marine Region,URL of the Marine Region of the sampling site,
Sampling Platform,Name or type of the sampling platform,
Depth,Depth of the water sampled ,metre
Depth_unit,Actually recorded unit for value in column: Depth,
Depth_flag,"Flag for when the recorded unit differs from the proposed unit, for column: Depth",
Protocol Label,"OSD protocol used (NPL022 = Protocol A, NE08 = Protocol B)",
Sampling Campaign,Sampling campaign name,
SAMPLE_Objective,Objective comments,
EVENT_Device,Sampling device,
EVENT_Method,Sampling method,
EVENT_Comment,Event comments,
SAMPLE_Quantity,Quantity of sampled water,litres
SAMPLE_Quantity_unit,Actually recorded unit for value in column: SAMPLE_Quantity,
SAMPLE_Quantity_flag,"Flag for when the recorded unit differs from the proposed unit, for column: SAMPLE_Quantity",
SAMPLE_FiltrationTime,Filtration time,minutes
SAMPLE_FiltrationTime_unit,Actually recorded unit for value in column: SAMPLE_FiltrationTime,
SAMPLE_FiltrationTime_flag,"Flag for when the recorded unit differs from the proposed unit, for column: SAMPLE_FiltrationTime",
SAMPLE_Container,Container used for the sampling,
SAMPLE_Content,Content comments,
SAMPLE_Size-Fraction_UpperThreshold,Mesh size upper limit for pre-filtration (larger material is excluded),micrometres (microns)
SAMPLE_Size-Fraction_LowerThreshold,Mesh size lower limit for pre-filtration (smaller material are excluded),micrometres (microns)
SAMPLE_Size-Fraction_LowerThreshold_unit,Actually recorded unit for value in column: SAMPLE_Size-Fraction_LowerThreshold,
SAMPLE_Size-Fraction_LowerThreshold_flag,"Flag for when the recorded unit differs from the proposed unit, for column: SAMPLE_Size-Fraction_LowerThreshold",
SAMPLE_Treatment_Chemicals,Treatment chemicals added to the sample,
SAMPLE_Treatment_Storage,Storage temperature or type,centigrade
Temperature,Temperature of the sampled water,centigrade
Temperature_unit,Actually recorded unit for value in column: Temperature,
Temperature_flag,"Flag for when the recorded unit differs from the proposed unit, for column: Temperature",
Salinity,Salinity of the sampled water,PSU or g/kg
Salinity_unit,Actually recorded unit for value in column: Salinity,
Salinity_flag,"Flag for when the recorded unit differs from the proposed unit, for column: Salinity",
CTD_Conductivity,Electrical conductivity of H2O,mS/cm
CTD_Conductivity_unit,Actually recorded unit for value in column: CTD_Conductivity,
CTD_Conductivity_flag,"Flag for when the recorded unit differs from the proposed unit, for column: CTD_Conductivity",
CTD_Fluorescence,Raw (volts) OR converted (mg Chla/m^3) fluorescence of the H2O,volt
CTD_Fluorescence_unit,Actually recorded unit for value in column: CTD_Fluorescence,
CTD_Fluorescence_flag,"Flag for when the recorded unit differs from the proposed unit, for column: CTD_Fluorescence",
CTD_Depth,Vertical depth as measured by a CTD,metre
CTD_Depth_unit,Actually recorded unit for value in column: CTD_Depth,
CTD_Depth_flag,"Flag for when the recorded unit differs from the proposed unit, for column: CTD_Depth",
Seawater Nutrients Concentration_Ammonium,Ammonium concentration parameters in the H2O column,micromol/l
Seawater Nutrients Concentration_Ammonium_unit,Actually recorded unit for value in column: Seawater Nutrients Concentration_Ammonium,
Seawater Nutrients Concentration_Ammonium_flag,"Flag for when the recorded unit differs from the proposed unit, for column: Seawater Nutrients Concentration_Silicate",
