EventID,SampleID,SampleID_ENA,SiteID,DateTime,Latitude,Longitude,environment (biome),environment (material),environment (feature),project name,Marine Region,Sampling Platform,Depth,Protocol Label,Sampling Campaign,SAMPLE_Objective,EVENT_Device,EVENT_Method,EVENT_Comment,SAMPLE_Quantity,SAMPLE_FiltrationTime,SAMPLE_Container,SAMPLE_Content,SAMPLE_Size-Fraction_UpperThreshold,SAMPLE_Size-Fraction_LowerThreshold,SAMPLE_Treatment_Chemicals,SAMPLE_Treatment_Storage,Temperature,Salinity,CTD_Conductivity,CTD_Conductivity_flag,CTD_Fluorescence,CTD_ Depth,Seawater Nutrients Concentration_Ammonium,Seawater Nutrients Concentration_Ammonium_flag,Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrate_flag,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Nitrite_flag,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Phosphate_flag,Seawater Nutrients Concentration_Silicate,Seawater Nutrients Concentration_Silicate_flag,Seawater Chemical Properties_pH,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Chemical Properties_Dissolved Oxygen concentration_flag,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Downward PAR_flag,Seawater Optical Properties_Turbidity,Seawater Optical Properties_Turbidity_flag,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_PON,"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations",Organism Concentration (Amount Volume or Mass)_Nano/Microplankton,ENA_BioSampleID,ENA_BioProjectID_TargetGene18S,ENA_BioProjectID_TargetGeneMG,ENA_BioProjectID_TargetGene16S
OSD1_2018-06,OSD1_2018-06_NPL022_1,OSD1_2018-06_1_NPL022,OSD1,2018-06-18T09:45:00Z,50.2505,-4.2201,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2389,not provided,2,NPL022,OSD-Jun-2018,not provided,CTD Rosette,not provided,not provided,2,not provided,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,13.84,35.07,not provided,,0.673,2,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,discarded value,discarded value,not provided,,0.26,,not provided,not provided,not provided,not provided,not provided,SAMEA7392483,PRJEB40759,not provided,PRJEB40757
OSD100_2018-06,OSD100_2018-06_NPL022_1,OSD100_2018-06_1_NPL022,OSD100,2018-06-21T09:00:00Z,35.35,25.29,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3339,HCMR dinghy boat,1,NPL022,OSD-Jun-2018,surface water sampling (100lt) CTD cost zooplankton net sampling,Niskin bottles / CTD / zooplankton net,surface water sampling with niskin 100lt CTD cost / vertical sampling zooplankton,not provided,20,60,Corboys,seawater,not provided,0.22,no treatment,-80,24.58,39.18,40.5,,not provided,1,not provided,,not provided,,not provided,,not provided,,not provided,,8.2,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392454,PRJEB40759,PRJEB40760,PRJEB40757
OSD122_2018-06,OSD122_2018-06_NPL022_1,OSD122_2018-06_1_NPL022,OSD122,2018-06-21T08:01:00Z,29.4661,34.9282,marine pelagic biome [ENVO:01000023],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25384,Self-propelled boat. 48182,0,NPL022,OSD-Jun-2018,sampling for Prokaryotes,25L Jerrycan,three 25L Jerrycans were deployed by hand from a boat,sampling done at open sea on surface. Water depth at sampling location is 700m,6,79,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,26.79,40.64,62.69,,not provided,0.5,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392453,PRJEB40759,PRJEB40760,PRJEB40757
OSD13_2018-06,OSD13_2018-06_NPL022_1,OSD13_2018-06_1_NPL022,OSD13,2018-06-21T11:30:00Z,43.1838,27.9004,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25202,not provided,0,NPL022,OSD-Jun-2018,not provided,not provided,not provided,not provided,1.06,60,Sterivex,particulate matter,no prefiltration,0.22,no treatment,Liquid Nitrogen,25.7,13.8,not provided,,not provided,0,not provided,,not provided,,not provided,,not provided,,not provided,,8.37,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392479,PRJEB40759,PRJEB40760,PRJEB40757
OSD14_2018-06,OSD14_2018-06_NPL022_1,OSD14_2018-06_1_NPL022,OSD14,2018-06-19T07:30:00Z,42.484,3.135,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,not provided,2,NPL022,OSD-Jun-2018,frequently monitored coastal lagoons,CTD probe Seabird 19 and 12L Niskin bottle,sampling and sterivex filtration,not provided,3,180,Sterivex,not provided,no prefiltration,0.22,no treatment,-80,19.11,36.73,not provided,,not provided,not provided,0.065,,0.06,,0.02,,0.05,,1.08,,8.022,5.916,unit conversion - type 3,not provided,,not provided,,not provided,176.53,29.8,0.879,not provided,SAMEA7392478,PRJEB40759,PRJEB40760,PRJEB40757
OSD141_2018-06,OSD141_2018-06_NPL022_1,OSD141_2018-06_1_NPL022,OSD141,2018-06-21T10:30:00Z,60.1612,5.115,marine pelagic biome [ENVO:01000023],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25233,boat,5,NPL022,OSD-Jun-2018,not provided,CTD / Niskin bottle,collect sample with a Niskin bottle,not provided,3,60,Sterivex,seawater,not provided,0.22,no treatment,-80,11.9,31.37,31.37,,1.55,5,not provided,,discarded value,discarded value,not provided,,discarded value,discarded value,not provided,,8.05,9.29,unit conversion - type 3,not provided,,0.46,unit conversion - type 4,not provided,not provided,not provided,not provided,not provided,SAMEA7392452,PRJEB40759,PRJEB40760,PRJEB40757
OSD152_2018-06,OSD152_2018-06_NPL022_1,OSD152_2018-06_1_NPL022,OSD152,2018-06-20T13:00:00Z,44.6936,-63.6403,neritic epipelagic zone biome [ENVO:01000042],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=18822,CGS SIGMA T,1,NPL022,OSD-Jun-2018,Compass Buoy Station has been sampled weekly since 1992 as parrt of the Bedford Basin monitoring Program,30L Niskin bottle,Niskin deployed via cable Winch,Compass Buoy Station has been sampled weekly since 1992 as part of the Bedford basin monitoring program /filtered peristaltic pump,3.1,24,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80,11.3,30,7.96,,3.4,1,not provided,,0.876,,not provided,,not provided,,not provided,,8.11,7.539,unit conversion - type 3,70.351,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392451,PRJEB40759,PRJEB40760,PRJEB40757
OSD153_2018-06,OSD153_2018-06_NPL022_1,OSD153_2018-06_1_NPL022,OSD153,2018-06-21T10:28:00Z,36.9978,-7.9817,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2360,on shore,0,NPL022,OSD-Jun-2018,not provided,not provided,not provided,not provided,1.5,40,Sterivex,not provided,not provided,0.22,no treatment,-80,19.1,36,48,,not provided,0.2,not provided,,not provided,,not provided,,not provided,,not provided,,8.13,8.44,unit conversion - type 3,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392450,PRJEB40759,PRJEB40760,PRJEB40757
OSD159_2018-06,OSD159_2018-06_NPL022_1,OSD159_2018-06_1_NPL022,OSD159,not provided,48.359,-4.552,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=8762,not provided,not provided,NPL022,OSD-Jun-2018,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,0.22,no treatment,-80,not provided,not provided,not provided,,not provided,not provided,not provided,,not provided,,not provided,,not provided,,not provided,,not provided,not provided,,not provided,,not provided,,not provided,not provided,not provided,not provided,not provided,SAMEA7392449,PRJEB40759,PRJEB40760,PRJEB40757
OSD17_2018-06,OSD17_2018-06_NPL022_1,OSD17_2018-06_1_NPL022,OSD17,2018-06-20T08:46:08Z,51.4335,2.8082,marine biome [ENVO:00000447],sea water [ENVO:00002149],microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,RV Simon Stevin,3,NPL022,OSD-Jun-2018,not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 330,0.78,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86,16.15,32.96,41.75,factor conversion microS to mS,6.223,not provided,0.529,,0.059,,0.029,,0.039,,0.029,,not provided,not provided,,not provided,,discarded value,discarded value,not provided,not provided,not provided,not provided,not provided,SAMEA7392477,PRJEB40759,PRJEB40760,PRJEB40757
