title,CTD_Conductivity,Density,CTD_Fluorescence,OBS,Pressure,Sound Velocity,CTD_ Depth (m),Seawater Nutrients Concentration_Ammonium,Seawater Nutrients Concentration_Nitrate_Nitrite,Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Silicate,Seawater Chemical Properties_pH,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Turbidity,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_PON,Organic Matter Concentration (Amount or Mass)_DOC,Pigments_19Hex_Fucoxanthin,Pigments_Alloxanthin,Pigments _Antheraxanthin,Pigments _Anthoxanthin,Pigments_ Beta_Carotene,Pigments_Chlorophyll_a,Pigments_Chlorophyll_b,Pigments _Chlorophyll_c1,Pigments_Chlorophyll_c2,Pigments_ Chlorophyllide_a,Pigments_ Diadinoxanthin,Pigments_Diatoxanthin,Pigments_Fucoxanthin,Pigments _Neoxanthin,Pigments_Peridinin,Pigments _Pheophorbide_a,Pigments_ Prasinoxanthin,Pigments _ Zeaxanthin,Secchi > Secchi_Depth,SPM > SPM,"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations","Organism Concentration (Amount, Volume or Mass)__Picoplankton","Organism Concentration (Amount, Volume or Mass)_Nano/Microplakton","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton",Community Production Rate_Primary Production (isotope uptake),Community Production Rate_Primary Production (Oxygen),Community Production Rate_Bacterial Production (isotope uptake),Community Production Rate_Bacterial Production (respiration),Community Production Rate_DN15‰,Community Production Rate_DC13‰,Community Production Rate_Dissolved inorganic carbon,Community Production Rate_Total alkalinity,Community Production Rate_suspended material,Community Production Rate_bacteria abundance
OSD1_2018-06_1_NPL022,,,0.6731,,,,2,,,,,,,,-999.999,,0.2653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD2_2018-06_1_NPL022,4.140853,,,,,,1,,,,,,,7.9404,,1680 photons/m2/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD4_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD5_2018-06_1_NPL022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD13_2018-06_1_NPL022,,,,,,,0,,,,,,,8.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD14_2018-06_1_NPL022,,,,,,,,0.065 μmol/l,,0.06 μmol/l,0.02 μmol/l,0.05 μmol/l,1.08 μmol/l,8.022,5.916 mg/l,,,,176.53 μmol/l,29.801 μmol/l,,,,,,,,,,,,,,,,,0.2 μg/l,,,,,0.879 μg/l,,,,,,,,,,,,1.684 mg/l,
OSD17_2018-06_1_NPL022,41748.41176,1024.160059,6.223029412,1.354747059,3.489352941,1507.952353,,0.529999971,0.090000004,0.059999999,0.029999999,0.039999999,0.029999999,,,,,,,,,0,0.027328696,0,0,0.080033153,5.783505917,0,0.635427296,0.32253468,0.736180484,0.343084037,0.04327222,3.382913351,0.055851597,0,0.036840737,0,0,420,7.300000191,,,,,,,,,,,,,,
OSD18_2018-06_1_NPL022,5.1444,,0.258,,,,65,,,,,,,8.069,6.9866,2.04,0.9651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD22_2018-06_1_NPL022,5.098,,0.393,,,,2,,,,,,,,100.96%,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSD24_2018-06_1_NPL022,54 mS/cm,,,,,,,,,,,30-50,,8,,,3.20 NTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
