title,CTD_Conductivity,CTD_Fluorescence,CTD_ Depth (m),Seawater Nutrients Concentration_Ammonium,Seawater Nutrients Concentration_Nitrate,Seawater Nutrients Concentration_Nitrite,Seawater Nutrients Concentration_Phosphate,Seawater Nutrients Concentration_Silicate,Seawater Chemical Properties_pH,Seawater Chemical Properties_Dissolved Oxygen concentration,Seawater Optical Properties_Downward PAR,Seawater Optical Properties_Turbidity,Organic Matter Concentration (Amount or Mass)_DON,Organic Matter Concentration (Amount or Mass)_POC,Organic Matter Concentration (Amount or Mass)_PON,Organic Matter Concentration (Amount or Mass)_DOC,"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations","Organism Concentration (Amount, Volume or Mass)__Picoplankton","Organism Concentration (Amount, Volume or Mass)_Nano/Microplakton","Organism Concentration (Amount, Volume or Mass)_Meso/Macroplankton",Community Production Rate_Primary Production (isotope uptake),Community Production Rate_Primary Production (Oxygen),Community Production Rate_Bacterial Production (isotope uptake),Community Production Rate_Bacterial Production (respiration)
OSD1_2018-06_1_NPL022,not provided,0.673,2,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,0.26,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD2_2018-06_1_NPL022,4.14,not provided,1,not provided,not provided,not provided,not provided,not provided,7.9404,not provided,1.68,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD4_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD5_2018-06_1_NPL022,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD13_2018-06_1_NPL022,not provided,not provided,0,not provided,not provided,not provided,not provided,not provided,8.37,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD14_2018-06_1_NPL022,not provided,not provided,not provided,0.065,0.06,0.02,0.05,1.08,8.022,5.916,not provided,not provided,not provided,176.53,29.8,not provided,0.879,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD17_2018-06_1_NPL022,41.75,6.223,not provided,0.529,0.059,0.029,0.039,0.029,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD22_2018-06_1_NPL022,5.09,0.393,2,not provided,not provided,not provided,not provided,not provided,not provided,10,not provided,0.19,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD24_2018-06_1_NPL022,54,not provided,not provided,not provided,not provided,not provided,not provided,not provided,8,not provided,not provided,3.2,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
OSD26_2018-06_1_NPL022,11.5,not provided,1,not provided,not provided,not provided,not provided,not provided,8.2,not provided,not provided,6.92,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
