To be published,EventID,Event Date/Time,DateTime,Latitude,Longitude,environment (biome),environment (material),environment (feature),project name,Marine Region,SiteID,Sampling Platform,Depth,Protocol Label,Temperature,Salinity,Sampling Campaign,SAMPLE_Investigators,SAMPLE_Objective,EVENT_Device,EVENT_Method,EVENT_Comment,SAMPLE_Quantity,SAMPLE_FiltrationTime,SAMPLE_Container,SAMPLE_Content,SAMPLE_Size-Fraction_UpperThreshold,SAMPLE_Size-Fraction_LowerThreshold,SAMPLE_Treatment_Chemicals,SAMPLE_Treatment_Storage
1,OSD1_2018-06,2018-06-18T09:45:00Z,2018-06-18T09:45:00Z,50.25,-4.22,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2389,OSD1,not provided,2,NPL022,13.84,35.07,OSD-Jun-2018,"CHRISMAS, Nathan, Western Observatory Channel.Plymouth Marine Laboratory, natchr@mba.ac.uk",not provided,CTD Rosette,not provided,not provided,2.00,not provided,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD100_2018-06,2018-06-21T09:00:00Z/2018-06-21T17:00:00Z,2018-06-21T09:00:00Z,35.35,25.29,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=3339,OSD100,HCMR dinghy boat,1,NPL022,24.58,39.18,OSD-Jun-2018,"KRISTALLAS, Apostolos/ DARIVIANAKIS, Stelios/ MAIDANOU, Maria, Hellenic Centre for Marine Research, kristallas@hcmr.gr/ daris@hcmr.gr/ mariam@hcmr.gr","surface water sampling (100lt), CTD cost, zooplankton net sampling",Niskin bottles / CTD / zooplankton net,surface water sampling with niskin 100lt CTD cost / vertical sampling zooplankton,not provided,20.00,60,Corboys,seawater,not provided,0.22,no treatment,-80
1,OSD122_2018-06,2018-06-21T08:01:00Z/2018-06-21T12:34:00Z,2018-06-21T08:01:00Z,29.47,34.93,marine pelagic biome [ENVO:01000023], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25384,OSD122,Self-propelled boat. 48182,0,NPL022,26.79,40.64,OSD-Jun-2018,"FRADA, Miguel/ KOPLOVITZ, Gil/ KEUTER,  Sabine, The InterUniversity Institute for Marine Sciences in Eilat, miguel.frada@mail.huji.ac.il/ gil.koplovitz@mail.huji.ac.il/ sabine.keuter@mail.huji.ac.il",sampling for Prokaryotes,25L Jerrycan,three 25L Jerrycans were deployed by hand from a boat,sampling done at open sea on surface. Water depth at sampling location is 700m,6.00,79,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD13_2018-06,2018-06-21T11:30:00Z/2018-06-21T11:40:00Z,2018-06-21T11:30:00Z,43.18,27.90,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25202,OSD13,not provided,0,NPL022,25.70,13.80,OSD-Jun-2018,"DZHEMBEKOVA,Nina/ SLABAKOVA, Nataliya/ MONCHEVA,Snejana, Institute of Oceanology.Bulgarian Academy of Sciences,sonata_bg@yahoo.com/slabakova@abv.bg/snejanam@abv.bg",not provided,not provided,not provided,not provided,1.06,60,Sterivex,particulate matter,no prefiltration,0.22,no treatment,Liquid Nitrogen
1,OSD14_2018-06,2018-06-19T07:30:00Z/2018-06-19T07:45:00Z,2018-06-19T07:30:00Z,42.48,3.14,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25185,OSD14,not provided,2,NPL022,19.11,36.73,OSD-Jun-2018,"CONAN, Pascal, Oceanology Observatory of Banyuls, conan@obs-banyuls.fr",frequently monitored coastal lagoons,CTD probe Seabird 19 and 12L Niskin bottle,sampling and sterivex filtration,not provided,3.00,180,Sterivex,not provided,no prefiltration,0.22,no treatment,-80
1,OSD141_2018-06,2018-06-21T10:30:00Z/2018-06-21T11:00:00Z,2018-06-21T10:30:00Z,60.16,5.12,marine pelagic biome [ENVO:01000023], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=25233,OSD141,boat,5,NPL022,11.90,31.37,OSD-Jun-2018,"OVREAS, Lise/ ARMO, Hilde Rief, Department of Biology. University of Bergen, LISE.OVREAS@UIB.NO/ HILDE.ARMO@UIB.NO",not provided,CTD / Niskin bottle,collect sample with a Niskin bottle,not provided,3.00,60,Sterivex,seawater,not provided,0.22,no treatment,-80
1,OSD152_2018-06,2018-06-20T13:00:00Z/2018-06-20T14:00:00Z,2018-06-20T13:00:00Z,44.69,-63.64,neritic epipelagic zone biome [ENVO:01000042], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=18822,OSD152,CGS SIGMA T,1,NPL022,11.30,30.00,OSD-Jun-2018,"TOLMAN, Jennifer/ LAROCHE, Julie, Dalhousie University, j.tolman@dal.ca/ julie.laroche@dal.ca",Compass Buoy Station has been sampled weekly since 1992 as parrt of the Bedford Basin monitoring Program,30L Niskin bottle,Niskin deployed via cable Winch,Compass Buoy Station has been sampled weekly since 1992 as part of the Bedford basin monitoring program /filtered peristaltic pump,3.10,24,Sterivex,particulate matter,no prefiltration,0.22,no treatment,-80
1,OSD153_2018-06,2018-06-21T10:28:00Z/2018-06-21T10:33:00Z,2018-06-21T10:28:00Z,37.00,-7.98,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=2360,OSD153,on shore,0,NPL022,19.10,36.00,OSD-Jun-2018,"LOURO, Bruno/ DUARTE, Vilma/ PAULINO, Christina, Centre of Marine Sciences, blouro@malg.pt",not provided,not provided,not provided,not provided,1.50,40,Sterivex,not provided,not provided,0.22,no treatment,-80
1,OSD159_2018-06,not provided,not provided,48.36,-4.55,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=8762,OSD159,not provided,not provided,NPL022,not provided,not provided,OSD-Jun-2018," L'HARIDON Stéphane, Centre Nationale Recherche Scientific
",not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,0.22,no treatment,-80
1,OSD17_2018-06,2018-06-20T08:46:08Z/2018-06-20T08:51:08Z,2018-06-20T08:46:08Z,51.43,2.81,marine biome [ENVO:00000447], sea water [ENVO:00002149], microbial community [PCO:1000004],Ocean Sampling Day,https://www.marineregions.org/gazetteer.php?p=details&id=26567,OSD17,RV Simon Stevin,3,NPL022,16.15,32.96,OSD-Jun-2018,"MORTELMANS, Jonas, Flanders Marine Institute (VLIZ), jonasm@vliz.be",not provided,6 x 5L Niksin bottle mounted on CTD,water is taken from Nisking. Protocol NPL22 is followed,site 330,0.78,not provided,Sterivex in sterile tube,marine sample,no prefiltration,0.22,no treatment,on ship in -24 and after cruise in -86
