Column name,Description,Column vocabterm,Column vocabterm ID,Unit,Unit vocabterm,To be published,Notes,
To be published,Is the row to be published?,comment,https://schema.org/Comment,NA,NA,0,,
EventID,event ID,eventID,http://rs.tdwg.org/dwc/terms/eventID,NA,NA,1, ,
environmental package,the environmental package (as used in ENA),env_package,https://w3id.org/gensc/terms/MIXS:0000019,NA,NA,1, ,
Event Date/Time,date and time of the event start / and end,eventDate,http://rs.tdwg.org/dwc/terms/eventDate,NA,NA,0, ,
DateTime,just the start date,EarliestDateCollected,http://rs.tdwg.org/dwc/terms/EarliestDateCollected,NA,NA,1,,
Latitude,sampling site latitude,decimalLatitude,http://rs.tdwg.org/dwc/terms/decimalLatitude,decimal degree,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,1, ,
Longitude,sampling site longitude,decimalLongitude,http://rs.tdwg.org/dwc/terms/decimalLongitude,decimal degree,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,1, ,
environment (biome),ENVO term for biome from where material was collected,biome ,http://purl.obolibrary.org/obo/ENVO_00000428,NA,NA,1, ,
environment (material),ENVO term for material collected,Unknown,Unknown,NA,NA,1,no appropriate term found, 
environment (feature),ENVO term for feature related to material collected,hydrographic feature,http://purl.obolibrary.org/obo/ENVO_00000012,NA,NA,1, ,
project name,Name of the project under which collection was done,eventRemarks,http://rs.tdwg.org/dwc/terms/eventRemarks,NA,NA,1, ,
Marine Region,Marine Region for collection site,locationAccordingTo,http://rs.tdwg.org/dwc/terms/locationAccordingTo,NA,NA,1, ,
SiteID,Sampling site ID,locationID,http://rs.tdwg.org/dwc/terms/locationID,NA,NA,1, ,
Sampling Platform,Sampling platform,Platform,http://www.w3.org/ns/sosa/Platform,NA,NA,1, ,
SAMPLE_Depth,Depth sample was taken from,verbatimDepth,http://rs.tdwg.org/dwc/terms/verbatimDepth,metre,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,1,I added the SAMPLE_ to the title,
SAMPLE_Protocol,Name of the OSD sampling protocol used,samplingProtocol,http://rs.tdwg.org/dwc/terms/samplingProtocol,NA,NA,1,I changed the column names from Protocol label,
SAMPLE_Temperature,Water temperature when material was sampled,Temperature of the water column,http://vocab.nerc.ac.uk/collection/P02/current/TEMP/,celcius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,1,I added the SAMPLE_ to the title,
SAMPLE_Salinity,Water salinity,Salinity of the water column,http://vocab.nerc.ac.uk/collection/P02/current/PSAL/,g/kg or PSU,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/,1,I added the SAMPLE_ to the title,
Sampling Campaign,Name of the sampling campaign,eventRemarks,http://rs.tdwg.org/dwc/terms/eventRemarks,NA,NA,1, ,
SAMPLE_Investigators,"Investigator details (name, email, institute)","Person, email, researchOrganization","https://schema.org/Person, https://schema.org/email, https://schema.org/ResearchOrganization",NA,NA,0,I changed SAMPLING to SAMPLE; do not publish anyway as will be in station spreadsheet,
SAMPLE_Objective,Objective of the event,eventRemarks,http://rs.tdwg.org/dwc/terms/eventRemarks,NA,NA,1,I changed SAMPLING to SAMPLE,
EVENT_Device,Device used to collect the material sample,Sampler,http://www.w3.org/ns/sosa/Sampler,NA,NA,1, ,
EVENT_Method,Method used to collect the material sample,measurementMethod,http://rs.tdwg.org/dwc/terms/measurementMethod,NA,NA,1, ,
EVENT_Comment,Comment related to event,measurementRemarks,http://rs.tdwg.org/dwc/terms/measurementRemarks,NA,NA,1, ,
SAMPLE_Quantity,Quantity of material sample collected,sampleSizeValue,http://rs.tdwg.org/dwc/terms/sampleSizeValue,litre,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/,1, ,
SAMPLE_FiltrationTime,Duration of filtration,sampleSizeValue,http://rs.tdwg.org/dwc/terms/sampleSizeValue,minute,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/,1, ,
SAMPLE_Container,Container in which material sample was stored,Sampler,http://www.w3.org/ns/sosa/Sampler,NA,NA,1, ,
SAMPLE_Content,A description of the material sample in the container,FeatureOfInterest,http://www.w3.org/ns/sosa/FeatureOfInterest,NA,NA,1, ,
SAMPLE_Size-Fraction_UpperThreshold,Mesh size upper limit for pre-filtration (larger material is excluded),size_frac,https://w3id.org/gensc/terms/MIXS:0000017,micrometre,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,1,no appropriate term found, 
SAMPLE_Size-Fraction_LowerThreshold,Mesh size lower limit for pre-filtration (smaller material are excluded),size_frac,https://w3id.org/gensc/terms/MIXS:0000017,micrometre,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,1, ,
SAMPLE_Treatment_Chemicals,Treatment chemicals added to the sample,samplingProtocol,http://rs.tdwg.org/dwc/terms/samplingProtocol,NA,NA,1, ,
SAMPLE_Treatment_Storage,"Conditions under which the sample was stored. If given as a temperature, value is in celcius",samplingProtocol,http://rs.tdwg.org/dwc/terms/samplingProtocol,NA,NA,1,,
,,,,,,, ,
,,,,,,, ,
,,,,,,, ,
,,,,,,, ,
,,,,,,, ,
