SiteID,Institute,Station name,County,OSD2014_StationName_ENA,OSD2018_StationName_ENA,OSD2019_StationName_ENA,Participated in OSD2014,Participated in OSD2018,Participated in OSD2019,,
OSD1,"Western Observatory Channel, Plymouth Marine Laboratory",Plymouth United Kingdom,GBR,L4,Plymouth United Kingdom,,1,1,,,
OSD2,Station Biologique de Roscoff,Roscoff Astan France,FRA,Roscoff - SOMLIT,Roscoff Astan France,Roscoff Astan France,1,1,1,, 
OSD3,,Helgoland,DEU,Helgoland,,,1,,,,
OSD4,Stazione Zoologica Anton Dohrn,LTER MC Naples Italy,ITA,LTER-MC,LTER MC Naples Italy,LTER MC Naples Italy,1,1,1,,
OSD5,Hellenic Centre for Marine Research,Crete Greece,GRC,Crete,Crete Greece,,1,1,,,
OSD6,,Blanes,ESP,Blanes,,,1,,,,
OSD7,,Moorea - Tiahura,FRA,Moorea - Tiahura,,,1,,,,
OSD9,,SPOTS,USA,SPOTS,,,1,,,,
OSD10,,Lake Erie W4,USA,Lake Erie W4,,,1,,,,
OSD13,"Institute of Oceanology, Bulgarian Academy of Sciences",Varna Bay Bulgaria,BLG,Varna Bay,Varna Bay Bulgaria,,1,1,,,
OSD14,Oceanology Observatory of Banyuls,Banyuls sur Mer France,FRA,Banyuls - SOMLIT,Banyuls sur Mer France,Banyuls sur Mer France,1,1,1,,
OSD15,,Villefranche - SOMLIT,FRA,Villefranche - SOMLIT,,,1,,,,
OSD17,Flanders Marine Institute (VLIZ),Oostende Belgium,BEL,VLIZ,Oostende Belgium,,1,1,,,
OSD18,Near East University,Kyrenia Cyprus,CYP,Kyrenia (North Cyprus),,,1,1,1,,
OSD19,,Famagusta (North Cyprus),CYP,Famagusta (North Cyprus),,,1,,,,
OSD20,,Iceland (Faxafloi),ISL,Iceland (Faxafloi),,,1,,,,
OSD21,,Croatia,HRV,Croatia,,,1,,,,
OSD22,"Mediterranean Institute of Oceanography, OSU Pytheas/Centre Nationale Recherche Scientific",Marseille Somlit France,FRA,Marseille Solemio SOMLIT,Marseille Somlit France,Marseille Somlit France,1,1,1,,
OSD24,Faculty of Sciences of Oujda,Marchica Morocco,MAR,Marchica,Marchica Morocco,Marchica Morroco,1,1,1,,
OSD25,,Saidia Rocher,MAR,Saidia Rocher,,,1,,,,
OSD26,Faculty of Sciences of Oujda,Tangier Morocco,MAR,Tangier,Tangier Morocco,,1,1,,,
OSD28,,Belize,BLZ,Belize,,,1,,,,
OSD29,,Florida,USA,Florida,,,1,,,,
OSD30,"Tvärminne Zoological Station, University of Helsinki",Tvärminne Finland,FIN,Finland/TvÃ¤rminne,TvÃ¤rminne Finland,,1,1,,,
OSD31,,Port Hacking - New South Wales,AUS,Port Hacking - New South Wales,,,1,,,,
OSD32,,North Stradbroke - Queensland,AUS,North Stradbroke - Queensland,,,1,,,,
OSD33,,Maria Island - Tasmania,AUS,Maria Island - Tasmania,,,1,,,,
OSD34,,Alexandria,EGY,Alexandria,,,1,,,,
OSD35,,Cheasapeake Bay,USA,Cheasapeake Bay,,,1,,,,
OSD36,,Delaware,USA,Delaware,,,1,,,,
OSD37,,Florida Coral 1 - Port Everglades,USA,Florida Coral 1 - Port Everglades,,,1,,,,
OSD38,,Florida Coral 2 - Long Key,USA,Florida Coral 2 - Long Key,,,1,,,,
OSD39,"National Ocean Service, Center for Coastal Environmental Health and Biomolecular Research, Charleston, SC",Charleston Harbor USA,USA,South Carolina 1 - Charleston Harbor,Charleston Harbor USA,Charleston Harbor USA,1,1,1,,
OSD41,,Washington - Sequim Bay Park,USA,Washington - Sequim Bay Park,,,1,,,,
OSD42,,Faro Lake,ITA,Faro Lake,,,1,,,,
OSD43,Scripps Institute of Oceanography,California Scripps USA,USA,California Scripps - SIO Pier,California Scripps USA,California Scripps USA,1,1,1,,
OSD45,,Gulf of Mexico Florida - Tampa Bay,USA,Gulf of Mexico Florida - Tampa Bay,,,1,,,,
OSD46,,Gulf of Mexico MS (Horn Island),USA,Gulf of Mexico MS (Horn Island),,,1,,,,
OSD47,Department of Biology. University of Padova,Venice Lagoon Italy,ITA,Venice Lagoon,Venice Lagoon Italy,,1,1,,,
OSD48,Department of Biology. University of Padova,Venice Gulf Italy,ITA,Venice Gulf,Venice Gulf Italy,,1,1,,,
OSD49,"Marine Biology Station, Piran",Piran Slovenia,SVN,Slovenia (Vida),,Piran,1,,1,,
OSD50,,Pasaia (Spain),ESP,Pasaia (Spain),,,1,,,,
OSD51,,Bocas del Toro (Panama),PAN,Bocas del Toro (Panama),,,1,,,,
OSD52,,Abu Hashish,EGY,Abu Hashish,,,1,,,,
OSD53,,Ras Disha,EGY,Ras Disha,,,1,,,,
OSD54,Bigelow Laboratory for Ocean Sciences,Maine Booth Bay USA,USA,Maine Booth Bay,Maine Booth Bay USA,Maine Booth Bay USA,1,1,1,,
OSD55,Bigelow Laboratory for Ocean Sciences,Maine Damariscotta River USA,USA,Maine Damariscotta River,Maine Damariscotta River USA,Maine Damariscotta River USA,1,1,1,,
OSD56,,Hawaii Kakaako,USA,Hawaii Kakaako,,,1,,,,
OSD57,,Hawaii Oahu,USA,Hawaii Oahu,,,1,,,,
OSD58,,PICO (Pivers Island),USA,PICO (Pivers Island),,,1,,,,
OSD60,Center for Coastal Environmental Health and Biomolecular Research. National Oceanic and Atmospheric Administration,South Carolina North Inlet USA,USA,South Carolina 2 - North Inlet,South Carolina North Inlet USA,South Carolina North Inlet USA,1,1.00,1,,
OSD61,,Vineyard Sound,USA,Vineyard Sound,,,1,,,,
OSD62,,Menai Straits (Bangor),GBR,Menai Straits (Bangor),,,1,,,,
OSD63,Institute of Marine Science. National Research Council,Venice Acqua Alta Italy,ITA,Venice Acqua Alta,Venice Acqua Alta Italy,Venice Acqua Alta Italy,1,1.00,1,,
OSD64,,Odessa (Ukraine),UKR,Odessa (Ukraine),,,1,,,,
OSD65,,Leigh Marine Laboratory (NZ),NZL,Leigh Marine Laboratory (NZ),,,1,,,,
OSD69,Department of Biology. University of Padova,Venice Marghera Italy,ITA,Venice - Marghera,Venice Marghera Italy,,1,1,,,
OSD70,Department of Biology. University of Padova,Venice Lido Italy,ITA,Venice - Lido,Venice Lido Italy,,1,1,,,
OSD71,,Otago,NZL,Otago,,,1,,,,
OSD72,,Boknis Eck,DNK,Boknis Eck,,,1,,,,
OSD73,,Lima Estuary,POR,Lima Estuary,,,1,,,,
OSD74,Interdisciplinary Center of Environmental and Marine Research,Douro Estuary,PRT,Douro Estuary,Douro Portugal,,1,1.00,,,
OSD76,University of Urbino. Dep. of Biomolecular Sciences. Section of Environmental Biology,Foglia Italy,ITA,Italy - Foglia,,Foglia Italy,1,,1,,
OSD77,University of Urbino. Dep. of Biomolecular Sciences. Section of Environmental Biology,Metauro Italy,ITA,Italy - Metauro,,Metauro Italy,1,,1,,
OSD78,CoNISMa,Conisma Italy,ITA,Italy - CONISMA,Conisma Italy,Conisma Italy,1,1.00,1,,
OSD80,,Greenland - Young Sound,USA,Greenland - Young Sound,,,1,,,,
OSD81,Centre of Marine Sciences,Faro Ria Formosa Portugal,PRT,Ria Formosa lagoon,Faro Ria Formosa Portugal,Faro Ria Formosa Portugal,1,1.00,1,,
