Nr,MaterialSampleID,EventID,SampleID,ENA_BioSampleID,ENA_BioProjectID_TargetGene18S,ENA_BioProjectID_TargetGeneMG,ENA_BioProjectID_TargetGene16S
1,OSD1_2018-06_1_NPL022,OSD1_2018-06,OSD1_2018-06_NPL022_1,SAMEA7392483,PRJEB40759,,PRJEB40757
2,OSD2_2018-06_1_NPL022,OSD2_2018-06,OSD2_2018-06_NPL022_1,SAMEA7392482,PRJEB40759,PRJEB40760,PRJEB40757
4,OSD4_2018-06_1_NPL022,OSD4_2018-06,OSD4_2018-06_NPL022_1,SAMEA7392481,PRJEB40759,PRJEB40760,PRJEB40757
5,OSD5_2018-06_1_NPL022,OSD5_2018-06,OSD5_2018-06_NPL022_1,SAMEA7392480,PRJEB40759,PRJEB40760,PRJEB40757
13,OSD13_2018-06_1_NPL022,OSD13_2018-06,OSD13_2018-06_NPL022_1,SAMEA7392479,PRJEB40759,PRJEB40760,PRJEB40757
14,OSD14_2018-06_1_NPL022,OSD14_2018-06,OSD14_2018-06_NPL022_1,SAMEA7392478,PRJEB40759,PRJEB40760,PRJEB40757
17,OSD17_2018-06_1_NPL022,OSD17_2018-06,OSD17_2018-06_NPL022_1,SAMEA7392477,PRJEB40759,PRJEB40760,PRJEB40757
18,OSD18_2018-06_1_NPL022,OSD18_2018-06,OSD18_2018-06_NPL022_1,SAMEA7392476,PRJEB40759,PRJEB40760,PRJEB40757
22,OSD22_2018-06_1_NPL022,OSD22_2018-06,OSD22_2018-06_NPL022_1,SAMEA7392475,PRJEB40759,PRJEB40760,PRJEB40757
24,OSD24_2018-06_1_NPL022,OSD24_2018-06,OSD24_2018-06_NPL022_1,SAMEA7392474,,,PRJEB40757
26,OSD26_2018-06_1_NPL022,OSD26_2018-06,OSD26_2018-06_NPL022_1,SAMEA7392473,PRJEB40759,PRJEB40760,PRJEB40757
30,OSD30_2018-06_1_NPL022,OSD30_2018-06,OSD30_2018-06_NPL022_1,SAMEA7392472,,,PRJEB40757
39,OSD39_2018-06_1_NPL022,OSD39_2018-06,OSD39_2018-06_NPL022_1,SAMEA7392471,PRJEB40759,PRJEB40760,PRJEB40757
43,OSD43_2018-06_1_NPL022,OSD43_2018-06,OSD43_2018-06_NPL022_1,SAMEA7392470,PRJEB40759,PRJEB40760,PRJEB40757
47,OSD47_2018-06_1_NPL022,OSD47_2018-06,OSD47_2018-06_NPL022_1,SAMEA7392469,PRJEB40759,PRJEB40760,PRJEB40757
48,OSD48_2018-06_1_NPL022,OSD48_2018-06,OSD48_2018-06_NPL022_1,SAMEA7392468,PRJEB40759,PRJEB40760,PRJEB40757
54,OSD54_2018-06_1_NPL022,OSD54_2018-06,OSD54_2018-06_NPL022_1,SAMEA7392467,PRJEB40759,,PRJEB40757
55,OSD55_2018-06_1_NPL022,OSD55_2018-06,OSD55_2018-06_NPL022_1,SAMEA7392466,PRJEB40759,,PRJEB40757
60,OSD60_2018-06_1_NPL022,OSD60_2018-06,OSD60_2018-06_NPL022_1,SAMEA7392465,PRJEB40759,PRJEB40760,PRJEB40757
63,OSD63_2018-06_1_NPL022,OSD63_2018-06,OSD63_2018-06_NPL022_1,SAMEA7392464,PRJEB40759,,PRJEB40757
69,OSD69_2018-06_1_NPL022,OSD69_2018-06,OSD69_2018-06_NPL022_1,SAMEA7392463,PRJEB40759,PRJEB40760,PRJEB40757
70,OSD70_2018-06_1_NPL022,OSD70_2018-06,OSD70_2018-06_NPL022_1,SAMEA7392462,PRJEB40759,PRJEB40760,PRJEB40757
74,OSD74_2018-06_1_NPL022,OSD74_2018-06,OSD74_2018-06_NPL022_1,SAMEA7392461,PRJEB40759,PRJEB40760,PRJEB40757
78,OSD78_2018-06_1_NPL022,OSD78_2018-06,OSD78_2018-06_NPL022_1,SAMEA7392460,PRJEB40759,PRJEB40760,PRJEB40757
81,OSD81_2018-06_1_NPL022,OSD81_2018-06,OSD81_2018-06_NPL022_1,SAMEA7392459,,PRJEB40760,PRJEB40757
88,OSD88_2018-06_1_NPL022,OSD88_2018-06,OSD88_2018-06_NPL022_1,SAMEA7392458,PRJEB40759,PRJEB40760,PRJEB40757
91,OSD91_2018-06_1_NPL022,OSD91_2018-06,OSD91_2018-06_NPL022_1,SAMEA7392457,PRJEB40759,PRJEB40760,PRJEB40757
93,OSD93_2018-06_1_NPL022,OSD93_2018-06,OSD93_2018-06_NPL022_1,SAMEA7392456,PRJEB40759,PRJEB40760,PRJEB40757
99,OSD99_2018-06_1_NPL022,OSD99_2018-06,OSD99_2018-06_NPL022_1,SAMEA7392455,PRJEB40759,,
100,OSD100_2018-06_1_NPL022,OSD100_2018-06,OSD100_2018-06_NPL022_1,SAMEA7392454,PRJEB40759,PRJEB40760,PRJEB40757
122,OSD122_2018-06_1_NPL022,OSD122_2018-06,OSD122_2018-06_NPL022_1,SAMEA7392453,PRJEB40759,PRJEB40760,PRJEB40757
141,OSD141_2018-06_1_NPL022,OSD141_2018-06,OSD141_2018-06_NPL022_1,SAMEA7392452,PRJEB40759,PRJEB40760,PRJEB40757
152,OSD152_2018-06_1_NPL022,OSD152_2018-06,OSD152_2018-06_NPL022_1,SAMEA7392451,PRJEB40759,PRJEB40760,PRJEB40757
153,OSD153_2018-06_1_NPL022,OSD153_2018-06,OSD153_2018-06_NPL022_1,SAMEA7392450,PRJEB40759,PRJEB40760,PRJEB40757
159,OSD159_2018-06_1_NPL022,OSD159_2018-06,OSD159_2018-06_NPL022_1,SAMEA7392449,PRJEB40759,PRJEB40760,PRJEB40757
170,OSD170_2018-06_1_NPL022,OSD170_2018-06,OSD170_2018-06_NPL022_1,SAMEA7392448,PRJEB40759,PRJEB40760,PRJEB40757
171,OSD171_2018-06_1_NPL022,OSD171_2018-06,OSD171_2018-06_NPL022_1,SAMEA7392447,PRJEB40759,PRJEB40760,PRJEB40757
175,OSD175_2018-06_1_NPL022,OSD175_2018-06,OSD175_2018-06_NPL022_1,SAMEA7392446,PRJEB40759,PRJEB40760,PRJEB40757
176,OSD176_2018-06_1_NPL022,OSD176_2018-06,OSD176_2018-06_NPL022_1,SAMEA7392445,PRJEB40759,PRJEB40760,PRJEB40757
177,OSD177_2018-06_1_NPL022,OSD177_2018-06,OSD177_2018-06_NPL022_1,SAMEA7392444,PRJEB40759,PRJEB40760,PRJEB40757
178,OSD178_2018-06_1_NPL022,OSD178_2018-06,OSD178_2018-06_NPL022_1,SAMEA7392443,PRJEB40759,PRJEB40760,PRJEB40757
179,OSD179_2018-06_1_NPL022,OSD179_2018-06,OSD179_2018-06_NPL022_1,SAMEA7392442,PRJEB40759,PRJEB40760,PRJEB40757
180,OSD180_2018-06_1_NPL022,OSD180_2018-06,OSD180_2018-06_NPL022_1,SAMEA7392441,PRJEB40759,,PRJEB40757
182,OSD182_2018-06_1_NPL022,OSD182_2018-06,OSD182_2018-06_NPL022_1,SAMEA7392440,PRJEB40759,PRJEB40760,PRJEB40757
183,OSD183_2018-06_1_NPL022,OSD183_2018-06,OSD183_2018-06_NPL022_1,SAMEA7392439,PRJEB40759,PRJEB40760,PRJEB40757
184,OSD184_2018-06_1_NPL022,OSD184_2018-06,OSD184_2018-06_NPL022_1,SAMEA7392438,PRJEB40759,,PRJEB40757
185,OSD185_2018-06_1_NPL022,OSD185_2018-06,OSD185_2018-06_NPL022_1,SAMEA7392437,PRJEB40759,PRJEB40760,PRJEB40757
210,OSD210_2018-06_1_NPL022,OSD210_2018-06,OSD210_2018-06_NPL022_1,SAMEA7392436,PRJEB40759,PRJEB40760,PRJEB40757
211,OSD211_2018-06_1_NPL022,OSD211_2018-06,OSD211_2018-06_NPL022_1,SAMEA7392435,PRJEB40759,PRJEB40760,PRJEB40757
212,OSD212_2018-06_1_NPL022,OSD212_2018-06,OSD212_2018-06_NPL022_1,SAMEA7392434,PRJEB40759,PRJEB40760,PRJEB40757
214,OSD214_2018-06_1_NPL022,OSD214_2018-06,OSD214_2018-06_NPL022_1,SAMEA7392433,PRJEB40759,PRJEB40760,PRJEB40757
216,OSD216_2018-06_1_NPL022,OSD216_2018-06,OSD216_2018-06_NPL022_1,SAMEA7392432,PRJEB40759,PRJEB40760,PRJEB40757
217,OSD217_2018-06_1_NPL022,OSD217_2018-06,OSD217_2018-06_NPL022_1,SAMEA7392431,PRJEB40759,PRJEB40760,PRJEB40757
218,OSD218_2018-06_1_NPL022,OSD218_2018-06,OSD218_2018-06_NPL022_1,SAMEA7392430,PRJEB40759,,PRJEB40757
219,OSD219_2018-06_1_NPL022,OSD219_2018-06,OSD219_2018-06_NPL022_1,SAMEA7392429,PRJEB40759,PRJEB40760,PRJEB40757
220,OSD220_2018-06_1_NPL022,OSD220_2018-06,OSD220_2018-06_NPL022_1,SAMEA7392428,PRJEB40759,PRJEB40760,PRJEB40757
223,OSD223_2018-06_1_NPL022,OSD223_2018-06,OSD223_2018-06_NPL022_1,SAMEA7392427,,PRJEB40760,PRJEB40757
227,OSD227_2018-06_1_NPL022,OSD227_2018-06,OSD227_2018-06_NPL022_1,SAMEA7392426,PRJEB40759,PRJEB40760,PRJEB40757
228,OSD228_2018-06_1_NPL022,OSD228_2018-06,OSD228_2018-06_NPL022_1,SAMEA7392425,PRJEB40759,,PRJEB40757
229,OSD229_2018-06_1_NPL022,OSD229_2018-06,OSD229_2018-06_NPL022_1,SAMEA7392424,PRJEB40759,PRJEB40760,PRJEB40757
231,OSD231_2018-06_1_NPL022,OSD231_2018-06,OSD231_2018-06_NPL022_1,SAMEA7392423,,PRJEB40760,PRJEB40757
232,OSD232_2018-06_1_NPL022,OSD232_2018-06,OSD232_2018-06_NPL022_1,SAMEA7392422,PRJEB40759,PRJEB40760,PRJEB40757
233,OSD233_2018-06_1_NPL022,OSD233_2018-06,OSD233_2018-06_NPL022_1,SAMEA7392421,PRJEB40759,PRJEB40760,PRJEB40757
