runId,experimentId,studyId,BioStudyId,sampleId,BioSampleId
ERR4674037,ERX4596014,ERP124426,PRJEB40759,ERS5150810,SAMEA7392421
ERR4674040,ERX4596017,ERP124426,PRJEB40759,ERS5150811,SAMEA7392422
ERR4674045,ERX4596022,ERP124426,PRJEB40759,ERS5150813,SAMEA7392424
ERR4674047,ERX4596024,ERP124426,PRJEB40759,ERS5150814,SAMEA7392425
ERR4674050,ERX4596027,ERP124426,PRJEB40759,ERS5150815,SAMEA7392426
ERR4674055,ERX4596032,ERP124426,PRJEB40759,ERS5150817,SAMEA7392428
ERR4674058,ERX4596035,ERP124426,PRJEB40759,ERS5150818,SAMEA7392429
ERR4674060,ERX4596037,ERP124426,PRJEB40759,ERS5150819,SAMEA7392430
ERR4674063,ERX4596040,ERP124426,PRJEB40759,ERS5150820,SAMEA7392431
ERR4674066,ERX4596043,ERP124426,PRJEB40759,ERS5150821,SAMEA7392432
ERR4674069,ERX4596046,ERP124426,PRJEB40759,ERS5150822,SAMEA7392433
ERR4674072,ERX4596049,ERP124426,PRJEB40759,ERS5150823,SAMEA7392434
ERR4674075,ERX4596052,ERP124426,PRJEB40759,ERS5150824,SAMEA7392435
ERR4674078,ERX4596055,ERP124426,PRJEB40759,ERS5150825,SAMEA7392436
ERR4674081,ERX4596058,ERP124426,PRJEB40759,ERS5150826,SAMEA7392437
ERR4674083,ERX4596060,ERP124426,PRJEB40759,ERS5150827,SAMEA7392438
ERR4674086,ERX4596063,ERP124426,PRJEB40759,ERS5150828,SAMEA7392439
ERR4674089,ERX4596066,ERP124426,PRJEB40759,ERS5150829,SAMEA7392440
ERR4674091,ERX4596068,ERP124426,PRJEB40759,ERS5150830,SAMEA7392441
ERR4674094,ERX4596071,ERP124426,PRJEB40759,ERS5150831,SAMEA7392442
ERR4674097,ERX4596074,ERP124426,PRJEB40759,ERS5150832,SAMEA7392443
ERR4674100,ERX4596077,ERP124426,PRJEB40759,ERS5150833,SAMEA7392444
ERR4674103,ERX4596080,ERP124426,PRJEB40759,ERS5150834,SAMEA7392445
ERR4674106,ERX4596083,ERP124426,PRJEB40759,ERS5150835,SAMEA7392446
ERR4674109,ERX4596086,ERP124426,PRJEB40759,ERS5150836,SAMEA7392447
ERR4674112,ERX4596089,ERP124426,PRJEB40759,ERS5150837,SAMEA7392448
ERR4674115,ERX4596092,ERP124426,PRJEB40759,ERS5150838,SAMEA7392449
ERR4674118,ERX4596095,ERP124426,PRJEB40759,ERS5150839,SAMEA7392450
ERR4674121,ERX4596098,ERP124426,PRJEB40759,ERS5150840,SAMEA7392451
ERR4674124,ERX4596101,ERP124426,PRJEB40759,ERS5150841,SAMEA7392452
ERR4674127,ERX4596104,ERP124426,PRJEB40759,ERS5150842,SAMEA7392453
ERR4674130,ERX4596107,ERP124426,PRJEB40759,ERS5150843,SAMEA7392454
ERR4674132,ERX4596109,ERP124426,PRJEB40759,ERS5150844,SAMEA7392455
ERR4674134,ERX4596111,ERP124426,PRJEB40759,ERS5150845,SAMEA7392456
ERR4674137,ERX4596114,ERP124426,PRJEB40759,ERS5150846,SAMEA7392457
ERR4674140,ERX4596117,ERP124426,PRJEB40759,ERS5150847,SAMEA7392458
ERR4674145,ERX4596122,ERP124426,PRJEB40759,ERS5150849,SAMEA7392460
ERR4674148,ERX4596125,ERP124426,PRJEB40759,ERS5150850,SAMEA7392461
ERR4674151,ERX4596128,ERP124426,PRJEB40759,ERS5150851,SAMEA7392462
ERR4674154,ERX4596131,ERP124426,PRJEB40759,ERS5150852,SAMEA7392463
ERR4674156,ERX4596133,ERP124426,PRJEB40759,ERS5150853,SAMEA7392464
ERR4674159,ERX4596136,ERP124426,PRJEB40759,ERS5150854,SAMEA7392465
ERR4674161,ERX4596138,ERP124426,PRJEB40759,ERS5150855,SAMEA7392466
ERR4674163,ERX4596140,ERP124426,PRJEB40759,ERS5150856,SAMEA7392467
ERR4674166,ERX4596143,ERP124426,PRJEB40759,ERS5150857,SAMEA7392468
ERR4674169,ERX4596146,ERP124426,PRJEB40759,ERS5150858,SAMEA7392469
ERR4674172,ERX4596149,ERP124426,PRJEB40759,ERS5150859,SAMEA7392470
ERR4674175,ERX4596152,ERP124426,PRJEB40759,ERS5150860,SAMEA7392471
ERR4674179,ERX4596156,ERP124426,PRJEB40759,ERS5150862,SAMEA7392473
ERR4674183,ERX4596160,ERP124426,PRJEB40759,ERS5150864,SAMEA7392475
ERR4674186,ERX4596163,ERP124426,PRJEB40759,ERS5150865,SAMEA7392476
ERR4674189,ERX4596166,ERP124426,PRJEB40759,ERS5150866,SAMEA7392477
ERR4674192,ERX4596169,ERP124426,PRJEB40759,ERS5150867,SAMEA7392478
ERR4674195,ERX4596172,ERP124426,PRJEB40759,ERS5150868,SAMEA7392479
ERR4674198,ERX4596175,ERP124426,PRJEB40759,ERS5150869,SAMEA7392480
ERR4674201,ERX4596178,ERP124426,PRJEB40759,ERS5150870,SAMEA7392481
ERR4674204,ERX4596181,ERP124426,PRJEB40759,ERS5150871,SAMEA7392482
ERR4674206,ERX4596183,ERP124426,PRJEB40759,ERS5150872,SAMEA7392483
