runId,experimentId,studyId,BioStudyId,sampleId,BioSampleId
ERR4674036,ERX4596013,ERP124427,PRJEB40760,ERS5150810,SAMEA7392421
ERR4674039,ERX4596016,ERP124427,PRJEB40760,ERS5150811,SAMEA7392422
ERR4674042,ERX4596019,ERP124427,PRJEB40760,ERS5150812,SAMEA7392423
ERR4674044,ERX4596021,ERP124427,PRJEB40760,ERS5150813,SAMEA7392424
ERR4674049,ERX4596026,ERP124427,PRJEB40760,ERS5150815,SAMEA7392426
ERR4674052,ERX4596029,ERP124427,PRJEB40760,ERS5150816,SAMEA7392427
ERR4674054,ERX4596031,ERP124427,PRJEB40760,ERS5150817,SAMEA7392428
ERR4674057,ERX4596034,ERP124427,PRJEB40760,ERS5150818,SAMEA7392429
ERR4674062,ERX4596039,ERP124427,PRJEB40760,ERS5150820,SAMEA7392431
ERR4674065,ERX4596042,ERP124427,PRJEB40760,ERS5150821,SAMEA7392432
ERR4674068,ERX4596045,ERP124427,PRJEB40760,ERS5150822,SAMEA7392433
ERR4674071,ERX4596048,ERP124427,PRJEB40760,ERS5150823,SAMEA7392434
ERR4674074,ERX4596051,ERP124427,PRJEB40760,ERS5150824,SAMEA7392435
ERR4674077,ERX4596054,ERP124427,PRJEB40760,ERS5150825,SAMEA7392436
ERR4674080,ERX4596057,ERP124427,PRJEB40760,ERS5150826,SAMEA7392437
ERR4674085,ERX4596062,ERP124427,PRJEB40760,ERS5150828,SAMEA7392439
ERR4674088,ERX4596065,ERP124427,PRJEB40760,ERS5150829,SAMEA7392440
ERR4674093,ERX4596070,ERP124427,PRJEB40760,ERS5150831,SAMEA7392442
ERR4674096,ERX4596073,ERP124427,PRJEB40760,ERS5150832,SAMEA7392443
ERR4674099,ERX4596076,ERP124427,PRJEB40760,ERS5150833,SAMEA7392444
ERR4674102,ERX4596079,ERP124427,PRJEB40760,ERS5150834,SAMEA7392445
ERR4674105,ERX4596082,ERP124427,PRJEB40760,ERS5150835,SAMEA7392446
ERR4674108,ERX4596085,ERP124427,PRJEB40760,ERS5150836,SAMEA7392447
ERR4674111,ERX4596088,ERP124427,PRJEB40760,ERS5150837,SAMEA7392448
ERR4674114,ERX4596091,ERP124427,PRJEB40760,ERS5150838,SAMEA7392449
ERR4674117,ERX4596094,ERP124427,PRJEB40760,ERS5150839,SAMEA7392450
ERR4674120,ERX4596097,ERP124427,PRJEB40760,ERS5150840,SAMEA7392451
ERR4674123,ERX4596100,ERP124427,PRJEB40760,ERS5150841,SAMEA7392452
ERR4674126,ERX4596103,ERP124427,PRJEB40760,ERS5150842,SAMEA7392453
ERR4674129,ERX4596106,ERP124427,PRJEB40760,ERS5150843,SAMEA7392454
ERR4674133,ERX4596110,ERP124427,PRJEB40760,ERS5150845,SAMEA7392456
ERR4674136,ERX4596113,ERP124427,PRJEB40760,ERS5150846,SAMEA7392457
ERR4674139,ERX4596116,ERP124427,PRJEB40760,ERS5150847,SAMEA7392458
ERR4674142,ERX4596119,ERP124427,PRJEB40760,ERS5150848,SAMEA7392459
ERR4674144,ERX4596121,ERP124427,PRJEB40760,ERS5150849,SAMEA7392460
ERR4674147,ERX4596124,ERP124427,PRJEB40760,ERS5150850,SAMEA7392461
ERR4674150,ERX4596127,ERP124427,PRJEB40760,ERS5150851,SAMEA7392462
ERR4674153,ERX4596130,ERP124427,PRJEB40760,ERS5150852,SAMEA7392463
ERR4674158,ERX4596135,ERP124427,PRJEB40760,ERS5150854,SAMEA7392465
ERR4674165,ERX4596142,ERP124427,PRJEB40760,ERS5150857,SAMEA7392468
ERR4674168,ERX4596145,ERP124427,PRJEB40760,ERS5150858,SAMEA7392469
ERR4674171,ERX4596148,ERP124427,PRJEB40760,ERS5150859,SAMEA7392470
ERR4674174,ERX4596151,ERP124427,PRJEB40760,ERS5150860,SAMEA7392471
ERR4674178,ERX4596155,ERP124427,PRJEB40760,ERS5150862,SAMEA7392473
ERR4674182,ERX4596159,ERP124427,PRJEB40760,ERS5150864,SAMEA7392475
ERR4674185,ERX4596162,ERP124427,PRJEB40760,ERS5150865,SAMEA7392476
ERR4674188,ERX4596165,ERP124427,PRJEB40760,ERS5150866,SAMEA7392477
ERR4674191,ERX4596168,ERP124427,PRJEB40760,ERS5150867,SAMEA7392478
ERR4674194,ERX4596171,ERP124427,PRJEB40760,ERS5150868,SAMEA7392479
ERR4674197,ERX4596174,ERP124427,PRJEB40760,ERS5150869,SAMEA7392480
ERR4674200,ERX4596177,ERP124427,PRJEB40760,ERS5150870,SAMEA7392481
ERR4674203,ERX4596180,ERP124427,PRJEB40760,ERS5150871,SAMEA7392482
