ColumnTitle,Description,Datatype,Property,ObservablePropertyUrl,Unit,UnitUrl,Comment
EventID,Event ID,xsd:string,schema:identifier,,,,
SampleID,"Sample ID, harmonised over all OSD years",xsd:string,schema:identifier,,,,
SampleID_ENA,"""Sample ID following ENA structure (Sample Title)""",xsd:string,schema:identifier,,,,
SiteID,Site ID (site details provided on the OSDStations spreadsheet),xsd:string,schema:identifier,,,,
DateTime,Start date and time of the event,xsd:datetime,schema:startDate,,,,
Latitude,Latitude of the station,xsd:double,schema:latitude,,decimal degree,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,
Longitude,Longitude of the station,xsd:double,schema:longitude,,decimal degree,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,
environment (biome),ENVO type for the biome sampled,xsd:string,schema:location,,,,
environment (material),ENVO type for the material sampled,xsd:string,schema:description,,,,
environment (feature),ENVO type for the feature sampled,xsd:string,schema:description,,,,
project name,Name of the project,xsd:string,schema:description,,,,
Marine Region,URL of the Marine Region of the sampling site,xsd:anyURI,schema:location,,,,
Sampling Platform,Name or type of the sampling platform,xsd:string,schema:description,,,,
Depth,Depth of the water sampled,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/AHGT/,metre,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,
Protocol Label,"OSD protocol used (NPL022 = Protocol A, NE08 = Protocol B)",xsd:string,schema:description,,,,
Sampling Campaign,Sampling campaign name,xsd:string,schema:description,,,,
SAMPLE_Objective,Objective comments,xsd:string,schema:description,,,,
EVENT_Device,Sampling device,xsd:string,sosa:madeBySampler,,,,
EVENT_Method,Sampling method,xsd:string,sosa:usedProcedure,,,,
EVENT_Comment,Event comments,xsd:string,rdfs:comment,,,,
SAMPLE_Quantity,Quantity of sampled water,xsd:double,schema:description,,litre,http://vocab.nerc.ac.uk/collection/P06/current/ULIT/,
SAMPLE_FiltrationTime,Filtration time,xsd:integer,schema:Duration,,minutes,http://vocab.nerc.ac.uk/collection/P06/current/UMIN/,
SAMPLE_Container,Container used for the sampling,xsd:string,schema:description,,,,
SAMPLE_Content,Content comments,xsd:string,schema:description,,,,
SAMPLE_Size-Fraction_UpperThreshold,Mesh size upper limit for pre-filtration (larger material is excluded),xsd:string,schema:description,,micrometre,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
